                   County Characteristics, 2000-2007
                              ICPSR 20660

            Record Layout for the ASCII Version of the Data


              Variable         Column  Column
                Name           Start    End    Type
              --------         ------  ------  ---------
              ID                   1       4   Numeric 
              State                5       6   Numeric
              County               7       9   Numeric
              FIPS                10      14   Numeric
              StateName           15      34   Character
              CountyName          35      77   Character
              Division            78      78   Numeric
              Region              79      79   Numeric
              CBSA                80      84   Numeric
              CBSA_Status         85      85   Numeric
              CBSA_Title          86     135   Character
              MetroDiv           136     140   Numeric
              MetroDivTitle      141     189   Character
              CSA                190     192   Numeric
              CSA_Title          193     253   Character
              Latitude           254     264   Numeric
              Longitude          265     275   Numeric
              LandArea           276     284   Numeric
              WaterArea          285     291   Numeric
              PopCen00           292     298   Numeric
              PopBase00          299     305   Numeric
              Pop00              306     312   Numeric
              Pop01              313     319   Numeric
              Pop02              320     326   Numeric
              Pop03              327     333   Numeric
              Pop04              334     340   Numeric
              Pop05              341     347   Numeric
              PopGr4_00_05       348     353   Numeric
              PopGr00_05         354     359   Numeric
              Births4_7_00       360     364   Numeric
              Births01           365     370   Numeric
              Births02           371     376   Numeric
              Births03           377     382   Numeric
              Births04           383     388   Numeric
              Births05           389     394   Numeric
              Deaths4_7_00       395     399   Numeric
              Deaths01           400     404   Numeric
              Deaths02           405     409   Numeric
              Deaths03           410     414   Numeric
              Deaths04           415     419   Numeric
              Deaths05           420     424   Numeric
              IntlMig4_7_00      425     429   Numeric
              IntlMig01          430     436   Numeric
              IntlMig02          437     443   Numeric
              IntlMig03          444     449   Numeric
              IntlMig04          450     455   Numeric
              IntlMig05          456     460   Numeric
              IntMig4_7_00       461     466   Numeric
              IntMig01           467     472   Numeric
              IntMig02           473     478   Numeric
              IntMig03           479     484   Numeric
              IntMig04           485     491   Numeric
              IntMig05           492     498   Numeric
              Residual4_7_00     499     502   Numeric
              Residual01         503     508   Numeric
              Residual02         509     514   Numeric
              Residual03         515     520   Numeric
              Residual04         521     526   Numeric
              Residual05         527     531   Numeric
              GQPopBase00        532     537   Numeric
              GQPop00            538     543   Numeric
              GQPop01            544     549   Numeric
              GQPop02            550     555   Numeric
              GQPop03            556     561   Numeric
              GQPop04            562     567   Numeric
              GQPop05            568     573   Numeric
              HU_Cen00           574     580   Numeric
              HU_Base00          581     587   Numeric
              HU00               588     594   Numeric
              HU01               595     601   Numeric
              HU02               602     608   Numeric
              HU03               609     615   Numeric
              HU04               616     622   Numeric
              HU05               623     629   Numeric
              HUGr4_00_05        630     635   Numeric
              HUGr00_05          636     641   Numeric
              Pop0_4_05          642     647   Numeric
              Pop5_13_05         648     654   Numeric
              Pop14_17_05        655     660   Numeric
              Pop15_44_05        661     667   Numeric
              Pop16plus05        668     674   Numeric
              Pop18_24_05        675     680   Numeric
              Pop18plus05        681     687   Numeric
              Pop45_64_05        688     694   Numeric
              Pop65plus05        695     700   Numeric
              Pop85plus05        701     706   Numeric
              Pct0_14_05         707     711   Numeric
              Pct15_64_05        712     716   Numeric
              Pct65plus05        717     721   Numeric
              Pct85plus05        722     725   Numeric
              Male0_4_05         726     731   Numeric
              Male5_13_05        732     737   Numeric
              Male14_17_05       738     743   Numeric
              Male15_44_05       744     750   Numeric
              Male16plus05       751     757   Numeric
              Male18_24_05       758     763   Numeric
              Male18plus05       764     770   Numeric
              Male45_64_05       771     777   Numeric
              Male65plus05       778     783   Numeric
              Male85plus05       784     788   Numeric
              Male05             789     795   Numeric
              Fmale0_4_05        796     801   Numeric
              Fmale5_13_05       802     807   Numeric
              Fmale14_17_05      808     813   Numeric
              Fmale15_44_05      814     820   Numeric
              Fmale16plus05      821     827   Numeric
              Fmale18_24_05      828     833   Numeric
              Fmale18plus05      834     840   Numeric
              Fmale45_64_05      841     847   Numeric
              Fmale65plus05      848     853   Numeric
              Fmale85plus05      854     858   Numeric
              Fmale05            859     865   Numeric
              SexRatio05         866     869   Numeric
              MedianAge05        870     874   Numeric
              Male_MdAge05       875     879   Numeric
              Fmale_MdAge05      880     884   Numeric
              White05            885     891   Numeric
              Black05            892     898   Numeric
              AIAN05             899     904   Numeric
              Asian05            905     911   Numeric
              NHOPI05            912     916   Numeric
              TwoPlus05          917     922   Numeric
              PctWhite05         923     928   Numeric
              PctBlack05         929     933   Numeric
