"ISO3","Country","Capital","Longitude","Latitude","SubSaharan","Population","PopulationDensity","VDEMDemocracy","POLITYDemocracy","ConflictOnset","HIVPrevalence","AdFertilityRate","HomicidesPer100K","PropWomenInParliament","LiteracyRate","GINIIndex"
"AGO","Angola","Luanda",13.242,-8.81155,1,28127721,22.5617397930537,0.304,-2,0,1.8,148.074,4.4582353472576,36.8181818181818,NA,NA
"BDI","Burundi","Bujumbura",29.3639,-3.3784,1,10727148,417.723831775701,0.216,-1,0,1.3,60.503,4.29750739443945,36.3636363636364,NA,NA
"BEN","Benin","Porto-Novo",2.6323,6.4779,1,10932783,96.9562167435261,0.698,7,0,1.1,95.516,NA,7.2289156626506,NA,47.8
"BFA","Burkina Faso","Ouagadougou",-1.53395,12.3605,1,18718019,68.4138121345029,0.374,6,0,0.9,122.57,0.646029930732339,9.44881889763779,NA,NA
"BWA","Botswana","Gaborone",25.9201,-24.6544,1,2305171,4.0674942212341,0.686,8,0,21,54.22,NA,9.52380952380952,NA,53.3
"CAF","Central African Republic","Bangui",21.6407,5.63056,1,4819333,7.73593534302867,0.288,0,0,4,160.531,NA,NA,NA,NA
"CIV","Cote d'Ivoire","Yamoussoukro",-4.0305,5.332,1,23596741,74.2035880503145,0.513,4,0,2.7,112.919,NA,9.16334661354582,NA,41.5
"CMR","Cameroon","Yaounde",11.5174,3.8721,1,23012646,48.6823760868186,0.359,-4,1,3.6,118.841,3.74142104863949,31.1111111111111,NA,NA
"COD","Congo, Dem. Rep.","Kinshasa",15.3222,-4.325,1,78656904,34.6957076376789,0.347,5,0,0.8,116.739,NA,8.94308943089431,NA,NA
"COG","Congo, Rep.","Brazzaville",15.2662,-4.2767,1,5064386,14.8298272327965,0.254,-4,0,3.6,115.052,NA,7.35294117647059,NA,NA
"COM","Comoros","Moroni",43.2418,-11.6986,1,730216,392.378291241268,0.503,9,0,0.1,66.546,NA,3.03030303030303,NA,NA
"CPV","Cabo Verde","Praia",-23.5087,14.9218,1,552166,137.013895781638,0.844,10,0,0.8,64.655,8.33082804808699,20.8333333333333,86.7902908325195,42.4
"DZA","Algeria","Algiers",3.05097,36.7397,0,39543154,16.6026255583626,0.293,2,1,0.1,11.888,1.38076996361026,31.6017316017316,NA,NA
"EGY","Egypt, Arab Rep.","Cairo",31.2461,30.0982,0,97723799,98.1704746597016,0.198,-4,1,0.1,56.931,1.75085294090364,NA,NA,31.8
"ERI","Eritrea","Asmara",38.9183,15.3315,1,3340006,27.5831182535293,0.07,-7,0,0.7,70.691,NA,22,NA,NA
"ETH","Ethiopia","Addis Ababa",38.7468,9.02274,1,102471895,90.8004623211398,0.238,-3,0,1.2,76.59,NA,38.7568555758684,NA,35
"GAB","Gabon","Libreville",9.45162,0.38832,1,2028517,7.87253851825979,0.386,3,0,3.7,103.618,NA,14.1666666666667,NA,NA
"GHA","Ghana","Accra",-0.20795,5.57045,1,28870939,126.882917289268,0.736,8,0,1.8,69.999,1.81843756450041,10.9090909090909,NA,NA
"GIN","Guinea","Conakry",-13.7,9.51667,1,11625998,47.3140078137718,0.468,4,0,1.6,132.184,NA,21.9298245614035,NA,NA
"GMB","Gambia, The","Banjul",-16.5885,13.4495,1,2253133,222.641600790514,0.283,-5,0,1.8,78.309,NA,9.43396226415094,50.7779693603516,35.9
"GNB","Guinea-Bissau","Bissau",-15.1804,11.8037,1,1788919,63.6173186344239,0.551,6,0,3.3,102.21,NA,13.7254901960784,NA,NA
"GNQ","Equatorial Guinea","Malabo",8.7741,3.7523,1,1346973,48.0204278074866,0.183,-6,0,6.6,161.13,NA,24,NA,NA
"KEN","Kenya","Nairobi",36.8126,-1.27975,1,46851488,82.3197947780862,0.472,9,1,4.9,81.426,4.82588722874835,19.7142857142857,NA,40.8
"LBR","Liberia","Monrovia",-10.7957,6.30039,1,4612329,47.8854754983389,0.642,6,0,1.3,140.428,NA,10.958904109589,NA,NA
"LBY","Libya","Tripoli",13.1072,32.8578,0,6192235,3.51923514100276,0.282,0,1,0.1,7.616,NA,15.9574468085106,NA,NA
"LSO","Lesotho","Maseru",27.7167,-29.5208,1,2118521,69.7800065876153,0.61,8,0,24.1,90.797,NA,25,NA,NA
"MAR","Morocco","Rabat",-6.8704,33.9905,0,34680458,77.7066054223616,0.294,-4,0,0.1,29.145,1.24277482148592,16.9620253164557,NA,NA
"MDG","Madagascar","Antananarivo",45.7167,-20.4667,1,24850912,42.713839807494,0.446,6,0,0.2,130.238,NA,20.5298013245033,NA,NA
"MLI","Mali","Bamako",-7.50034,13.5667,1,18112907,14.8443332595743,0.56,5,1,1.1,163.29,NA,8.84353741496599,33.0688896179199,NA
"MOZ","Mozambique","Maputo",32.5713,-25.9664,1,26843246,34.1352094407284,0.454,5,0,12.4,174.077,NA,39.6,56.0390014648438,NA
"MRT","Mauritania","Nouakchott",-15.9824,18.2367,1,3946220,3.82867953817794,0.457,-2,0,0.4,83.095,NA,25.1700680272109,NA,NA
"MUS","Mauritius","Port Louis",57.4977,-20.1605,1,1262879,632.388082123185,0.836,10,0,NA,24.49,1.62393777070463,11.5942028985507,92.7076034545898,NA
"MWI","Malawi","Lilongwe",33.7703,-13.9899,1,16938942,179.666334323292,0.592,6,0,9.6,131.928,NA,16.6666666666667,62.1435394287109,NA
"NAM","Namibia","Windhoek",17.0931,-22.5648,1,2282704,2.77266090927863,0.731,6,0,12.9,70.805,NA,41.3461538461538,NA,59.1
"NER","Niger","Niamey",2.1073,13.514,1,20128124,15.8902060472093,0.624,6,1,0.3,177.002,NA,13.2743362831858,NA,NA
"NGA","Nigeria","Abuja",7.48906,9.05804,1,183995785,202.022228444064,0.594,7,1,NA,114.982,NA,5.55555555555556,NA,35.9
"RWA","Rwanda","Kigali",30.0587,-1.95325,1,11642959,471.948074584516,0.275,-3,0,3.2,39.296,2.51654240129163,63.75,NA,NA
"SDN","Sudan","Khartoum",32.5363,15.5932,1,38171178,20.4342494646681,0.245,-4,0,0.1,93.526,NA,30.5164319248826,NA,NA
"SEN","Senegal","Dakar",-17.4734,14.7247,1,14356181,74.5659429699268,0.645,7,0,0.4,73.748,0.267518151792543,42.6666666666667,NA,NA
"SLE","Sierra Leone","Freetown",-13.2134,8.4821,1,7314773,101.340717650319,0.498,7,0,1.5,124.353,1.69519956395093,12.396694214876,NA,NA
"SOM","Somalia","Mogadishu",45.3254,2.07515,1,13763906,21.9401058437211,0.171,5,0,NA,127.933,NA,13.8181818181818,NA,NA
"SSD","South Sudan","Juba",31.6,4.85,1,11194299,17.714460462393,0.182,0,0,2.2,104.178,NA,26.5060240963855,NA,NA
"STP","Sao Tome and Principe","Sao Tome",6.6071,0.20618,1,201124,209.504166666667,NA,NA,NA,0.7,95.992,NA,18.1818181818182,NA,NA
"SWZ","Eswatini","Mbabane",31.4659,-26.5225,1,1133936,65.926511627907,0.143,-9,0,29.9,77.114,9.8771006476556,6.15384615384615,NA,NA
"SYC","Seychelles","Victoria",55.4466,-4.6309,1,93419,203.084782608696,NA,NA,NA,NA,56.212,7.05360741636437,43.75,NA,NA
"TCD","Chad","N'Djamena",15.0445,12.1048,1,14140274,11.2295695679797,0.279,-2,1,1.4,161.833,NA,14.8936170212766,26.0029907226562,NA
"TGO","Togo","Lome",1.2255,6.1228,1,7473229,137.400790586505,0.503,-2,0,2.3,82.951,NA,17.5824175824176,63.7456207275391,43.1
