"","WBcode","country","countryid","year","numericWBcode","countryyear","CO2","CO2_PC","infocommexp","infocommexpGDP","pavedroads","roadsKM","railroadsKM","vehiclesperK","mobilephones","mobilesperK","PCsperK","telfaultsper100","telmainlines","telmainlinesperK","internetperK","newspapersperK","allphonesperK","improvedH20pct","DPTpct","measlespct","hospitalbedsperK","malarianetspct","improvedsanitationpct","skilledbirthspct","healthexpPC","healthexpGDP","GINI","contraceptionpct","infantmortalityperK","lifeexpectancy","fertility","ccode","ccode2year","SF","DWSF2log","DWSF2dstsqrt","ALTDWSF2sqrt","SFcontig","democ","autoc","polity","polity2","durable","xrreg","xrcomp","xropen","xconst","parreg","parcomp","exrec","exconst","polcomp","bdate","bprec","change","regtrans","worldbankname","NatYr","cowreg","regyr","demaut","W_extend","W_mod","polityW","polityWn","demaut2","lagW","lagW2","assass","autoc1","democ1","politylag","asscount","newpolty","type1","type2","type3","type4","location","count","conflict","meanreb","maxreb","meanprot","maxprot","annpolty","poldisim","newcomp","populat","intAC","extAC","in_cap_ar1","in_maj_ar1","assdurat","poltysq","polityrel","inmodel","yearsq","YEAR","YEARSQ","coldwar","POLITY","DPOLITY","POLTYdif","POLITYWRECK","UNREG","ELECT","OPEN","SELECT","POWER","REPRESS","SELxPOW","SELxREP","POWxREP","THREEWAY","ConfIn1000","indata","asssum","id","civilwar","REPRESSSQ","POWERSQ","SELECTSQ","meanREP","meanPOW","mREPxmPOW","REPdif","POWdif","REPdxPOWd","newasssum","yearbefore","yearafter","politysq","polity01","polity01sq","NEWpop","NEWxrat","NEWppp","NEWcgdp","NEWcc","NEWcg","NEWci","NEWp","NEWpc","NEWpg","NEWpi","NEWopenc","NEWcgnp","NEWy","NEWrgdpl","NEWrgdpch","NEWrgdpeqa","NEWrgdpwok","NEWrgdptt","NEWopenk","NEWkc","NEWkg","NEWki","NEWgrgdpch","PWTmerge","internalconflict","externalconflict","intconflictlag","extconflictlag","loginfantmort","logallphones","logNEWrgdpch","logopen","newyear","corrCW","corrIW","IMresidsq","dropme","IMhat","IM_se","IM_UB","IM_LB"
"1","USA","United States",212,2000,215,2122000,5829901,20.6569995880127,931999973376,9.54618740081787,NA,6358665,159822,784.760681152344,1.09e+08,387.911804199219,570.468872070312,14.1700000762939,1.93e+08,682.12841796875,439.367309570312,196.300003051758,1070.0400390625,NA,94,91,3.5,NA,NA,NA,4588,13.3000001907349,40.810001373291,NA,6.90000009536743,77.0341491699219,2.05599999427795,2,22000,4,0.455067947506905,0.0495693366974592,0.0495693376287818,0,10,0,10,10,100,3,3,4,7,5,5,8,7,10,NA,NA,NA,NA,"",1,1,12000,1,3,1,10,1,1,1,1,0,0,10,1,1,1,0,0,0,0,0,0,0,0,0,2.5,4,0.655228734016418,0.344771265983582,5,NA,0,0,0,0,37,1,0.344771265983582,0,4e+06,100,10000,0,10,4,0,0,0,1,1,0,0,0,0,0,0,0,NA,0,1,22000,0,0,0,0,0,0,0,0,0,0,1,0,0,100,1,1,284153.6875,1,1,34364.5,69.0617523193359,10.6626224517822,24.1620292663574,100,99.9356079101562,134.856109619141,84.8021621704102,26.3405284881592,101.70100402832,100,34364.5,34364.5,38525.2265625,67078.859375,34364.5,26.3405284881592,69.0617523193359,10.6626224517822,24.1620292663574,2.75376462936401,3,0,0,0,0,1.93152141571045,6.97545146942139,10.4447793960571,3.27110886573792,40,0,0,331.407104492188,147.695404052734,25.1045894622803,2.31916284561157,29.6501483917236,20.5590305328369
"2","CAN","Canada",34,2000,34,342000,491041.90625,15.9586200714111,44400001024,6.21196603775024,NA,NA,NA,571.041687011719,8727000,283.623199462891,419.243591308594,NA,20300000,661.267395019531,421.551086425781,167.929992675781,944.890625,NA,91,95,3.79999995231628,NA,NA,NA,2071,8.89999961853027,32.5620002746582,NA,NA,78.9268264770508,1.53199994564056,20,202000,4,0.455568194389343,0.0497921360656619,0.0497921369969845,0,10,0,10,10,100,3,3,4,7,5,5,8,7,10,NA,NA,NA,NA,"",1,1,12000,1,3,1,18,1,1,1,1,0,0,10,1,0,1,0,0,0,0,0,0,0,0,0,1.33333337306976,3,0.655228734016418,0.344771265983582,5,NA,0,0,0,0,55,1,0.344771265983582,0,4e+06,100,10000,0,10,17,0,0,0,1,1,0,0,0,0,0,0,0,NA,0,0,202000,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1,1,30689.0390625,1.48510003089905,1.28816628456116,26820.734375,55.7154235839844,12.9230690002441,25.5842361450195,86.7393646240234,85.4339370727539,126.21363067627,69.6430435180664,86.4787368774414,97.4219665527344,78.0477905273438,26820.734375,26820.734375,29652.552734375,49815.62890625,26820.734375,86.4787368774414,55.7154235839844,12.9230690002441,25.5842361450195,4.48292636871338,3,0,0,0,0,NA,6.85106897354126,10.1969308853149,4.45989847183228,40,0,0,NA,83.7774124145508,29.8334980010986,2.17437124252319,34.0952644348145,25.5717296600342
"3","BHS","Bahamas, The",22,2000,22,222000,1795.35998535156,5.95598411560059,NA,NA,NA,NA,NA,NA,31524,104.57869720459,NA,NA,114347,379.338409423828,43.5578804016113,NA,483.917114257812,NA,99,93,NA,NA,NA,99,1075,6.5,NA,NA,14,68.7502899169922,2.34120011329651,31,312000,4,0.454653613269329,0.0494084293022752,0.0494084283709526,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290.075012207031,1,0.778262794017792,19088.04296875,66.1209335327148,27.2953357696533,18.3931503295898,77.8262786865234,81.5707397460938,45.2319984436035,112.735176086426,125.71272277832,96.5447616577148,55.5458145141602,19088.04296875,19088.04296875,22403.8046875,37107.390625,19088.04296875,125.71272277832,66.1209335327148,27.2953357696533,18.3931503295898,3.60134196281433,3,NA,NA,0,0,2.63905739784241,6.18191385269165,9.8568172454834,4.8339991569519,40,0,0,10.3882122039795,294.225402832031,17.2230758666992,2.6210823059082,22.3603973388672,12.0857543945312
"4","CUB","Cuba",47,2000,47,472000,24922.529296875,2.24029493331909,NA,NA,NA,NA,NA,NA,6536,0.587523281574249,12.135199546814,9.94999980926514,488606,43.9209594726562,5.3934211730957,53.560001373291,44.5084915161133,NA,95,94,NA,NA,NA,NA,176,7,NA,73,7.19999980926514,76.4721984863281,1.58000004291534,40,402000,4,0.45302177965641,0.0485837403684855,0.0485837403684855,0,0,7,-7,-7,39,2,0,0,1,4,1,5,1,1,NA,NA,NA,NA,"",1,1,12000,0.150000005960464,0,0,36,1,0.0225000008940697,0.25,0.0625,0,7,0,0.150000005960464,0,0.150000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,0.655228734016418,0.505228757858276,1,NA,0,0,0,0,55,0.0225000008940697,-0.505228757858276,0,4e+06,100,10000,0,-7,2,0,0,0,0,0,3,6,3,18,9,18,54,NA,0,0,402000,0,9,36,9,2.75999999046326,5.76000022888184,15.8976001739502,0.240000009536743,0.239999771118164,0.0575999468564987,0,0,0,49,0.150000005960464,0.0225000008940697,11134.2734375,1,0.444539248943329,5698.61767578125,73.0490798950195,26.6483116149902,3.35408782958984,44.4539260864258,40.0393829345703,39.5479278564453,179.577026367188,33.6754608154297,97.9842071533203,16.5828628540039,5698.61767578125,5698.61767578125,6370.7294921875,11493.783203125,5698.61767578125,33.6754608154297,73.0490798950195,26.6483116149902,3.35408782958984,4.08353090286255,3,0,0,0,0,1.97408103942871,3.79568004608154,8.64797878265381,3.51676940917969,40,0,0,266.612945556641,173.001403808594,23.5282859802246,2.37404918670654,28.1814231872559,18.8751487731934
"5","HTI","Haiti",90,2000,91,902000,1458.27197265625,0.183689400553703,NA,NA,NA,NA,NA,NA,55000,6.92800712585449,NA,NA,72500,9.13237285614014,2.51927495002747,NA,16.0603809356689,NA,43,54,0.800000011920929,NA,NA,23.7999992370605,31,6.80000019073486,NA,27,81,50.6708297729492,4.1431999206543,41,412000,4,0.456361837685108,0.0503069134429097,0.0503069134429097,0,1,3,-2,-2,0,2,1,4,3,2,3,3,3,7,1126,1,-9,-2,"",1,1,12000,0.400000005960464,1,0.25,55,1,0.160000011324883,0.25,0.0625,0,3,1,NA,0,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,0.655228734016418,0.255228728055954,3,NA,0,0,0,0,55,0.160000011324883,-0.255228728055954,0,4e+06,100,10000,0,-1.99999988079071,11,-4.5,0,0,0,1,2,4,1,8,2,4,8,NA,0,0,412000,0,1,16,4,2.32500004768372,5.27083349227905,12.2546882629395,-1.32500004768372,-1.27083349227905,1.68385446071625,0,0,0,4,0.400000005960464,0.160000011324883,7177.115234375,21.1706657409668,5.05759620666504,2069.28759765625,95.6639862060547,17.9071826934814,4.15420484542847,23.8896408081055,24.6394119262695,8.36221313476562,73.5565567016602,45.1138229370117,100,6.02158498764038,2069.28759765625,2069.28759765625,2594.71801757812,4796.6796875,2069.28759765625,45.1138229370117,95.6639862060547,17.9071826934814,4.15420484542847,7.03887462615967,3,0,0,0,0,4.39444923400879,2.77635550498962,7.63495969772339,3.80918860435486,40,0,0,600.055969238281,1509.08935546875,105.496040344238,4.38603544235229,114.092666625977,96.8994140625
"6","DOM","Dominican Republic",55,2000,55,552000,20401.150390625,2.46840500831604,NA,NA,NA,NA,NA,NA,705431,85.3525085449219,NA,NA,894164,108.188003540039,39.5791282653809,27.5300006866455,193.540496826172,NA,68,88,NA,NA,NA,97.5999984741211,162,6.80000019073486,NA,NA,33,67.0079498291016,2.79999995231628,42,422000,4,0.45732719451189,0.0508143929764628,0.0508143920451403,0,8,0,8,8,4,3,3,4,6,2,4,8,6,9,NA,NA,NA,NA,"",1,1,12000,0.899999976158142,2,0.75,73,1,0.809999942779541,0.75,0.5625,0,0,8,0.899999976158142,1,0.899999976158142,0,0,0,0,0,0,0,0,0,1,1,0.655228734016418,0.244771242141724,4,NA,0,0,0,0,39,0.809999942779541,0.244771242141724,0,4e+06,100,10000,0,7.99999952316284,3.99999976158142,0,0,0,1,1,0,1,1,0,0,1,0,NA,0,1,422000,0,1,1,0,1.58823525905609,3.50980401039124,5.57439470291138,-0.588235259056091,-2.50980401039124,1.47635519504547,1,0,0,64,0.899999976158142,0.809999942779541,8353.525390625,16.4150161743164,7.81808090209961,6497.3671875,78.1138610839844,15.0160646438599,15.9903411865234,47.627613067627,46.8966217041016,21.2547588348389,75.9645385742188,43.3355484008789,94.733512878418,18.9072074890137,6497.3671875,6497.3671875,7875.5966796875,15008.93359375,6497.3671875,43.3355484008789,78.1138610839844,15.0160646438599,15.9903411865234,5.28749084472656,3,0,0,0,0,3.49650764465332,5.26548671722412,8.77915191650391,3.7689733505249,40,0,0,1094.8466796875,191.739410400391,66.0884628295898,2.41393971443176,70.8197860717773,61.3571395874023
"7","JAM","Jamaica",101,2000,102,1012000,10878.419921875,4.20115184783936,8.28e+08,10.3173398971558,NA,NA,NA,NA,366952,141.713806152344,46.3429908752441,48,507107,195.840393066406,30.895320892334,NA,337.55419921875,NA,86,88,NA,NA,NA,NA,191,6.19999980926514,38.8199996948242,NA,17,71.031120300293,2.53379988670349,51,512000,4,0.454705335199833,0.0494491579011083,0.0494491569697857,0,9,0,9,9,41,3,3,4,7,2,4,8,7,9,NA,NA,NA,NA,"",1,1,12000,0.949999988079071,2,0.75,78,1,0.902499973773956,0.75,0.5625,0,0,9,0.949999988079071,0,0.949999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,0.655228734016418,0.294771254062653,4,NA,0,0,0,0,55,0.902499973773956,0.294771254062653,0,4e+06,100,10000,0,9,18,0,0,0,1,1,0,0,1,0,0,0,0,NA,0,0,512000,0,1,0,0,0.190476194024086,0,0,0.809523820877075,0,0,0,0,0,81,0.949999988079071,0.902499973773956,2652.68896484375,42.9856986999512,28.3120174407959,4520.83837890625,69.9835662841797,26.2791023254395,15.1215362548828,65.8638000488281,64.7471542358398,39.6010246276855,116.672729492188,97.4817428588867,95.8987884521484,13.1555471420288,4520.83837890625,4520.83837890625,5414.177734375,9072.5234375,4520.83837890625,97.4817428588867,69.9835662841797,26.2791023254395,15.1215362548828,-0.442764401435852,3,0,0,0,0,2.83321332931519,5.82172632217407,8.41645240783691,4.579665184021,40,0,0,429.111785888672,17.2474098205566,37.7150115966797,2.01263380050659,41.6597747802734,33.7702484130859
"8","TTO","Trinidad and Tobago",204,2000,206,2042000,31074.380859375,24.1880493164062,NA,NA,NA,NA,NA,NA,161860,125.990501403809,62.2713508605957,NA,316767,246.568801879883,77.8391876220703,NA,372.559387207031,NA,90,90,NA,NA,NA,96,235,3.70000004768372,NA,38,20,70.3273620605469,1.62600004673004,52,522000,4,0.461214765906334,0.0529106250032783,0.0529106259346008,0,10,0,10,10,38,3,3,4,7,5,5,8,7,10,NA,NA,NA,NA,"",1,1,12000,1,3,1,82,1,1,1,1,0,0,10,1,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,0.655228734016418,0.344771265983582,5,NA,0,0,0,0,55,1,0.344771265983582,0,4e+06,100,10000,0,10,0,0,0,0,1,1,0,0,0,0,0,0,0,NA,0,0,522000,0,0,0,0,0.897435903549194,0,0,-0.897435903549194,0,0,0,0,0,100,1,1,1125.06604003906,6.29979658126831,3.09142351150513,14770.0341796875,59.3394165039062,14.4964361190796,12.278881072998,49.0718002319336,47.2491073608398,40.4661407470703,68.0400543212891,104.551208496094,92.2899627685547,42.9804992675781,14770.0341796875,14770.0341796875,16889.69140625,33101.82421875,14770.0341796875,104.551208496094,59.3394165039062,14.4964361190796,12.278881072998,22.0048675537109,3,0,0,0,0,2.99573230743408,5.92039632797241,9.60035610198975,4.64967679977417,40,0,0,130.183563232422,66.4714126586914,31.4098014831543,2.13347911834717,35.5914192199707,27.2281818389893
"9","BRB","Barbados",29,2000,29,292000,1190.80004882812,4.47519397735596,NA,NA,98.5999984741211,1600,NA,NA,28467,106.983001708984,82.6791000366211,NA,123832,465.378112792969,37.5814094543457,NA,572.361083984375,NA,93,94,NA,NA,NA,98,604,6.19999980926514,NA,NA,12,75.4190216064453,1.75,53,532000,4,0.462192803621292,0.0534491119906306,0.0534491138532758,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,273.894012451172,2,1.17634272575378,16086,88.8931274414062,13.024884223938,4.56882953643799,58.8171348571777,44.5235404968262,94.4890518188477,235.225540161133,106.162689208984,96.835807800293,46.8099327087402,16086,16086,17953.125,29178.3046875,16086,106.162689208984,88.8931274414062,13.024884223938,4.56882953643799,3.53978610038757,3,NA,NA,0,0,2.4849066734314,6.34977006912231,9.68570423126221,4.66497278213501,40,0,0,215.528610229492,124.38941192627,26.6808929443359,2.26743960380554,31.1250743865967,22.2367115020752
"10","DMA","Dominica",53,2000,53,532000,102.592002868652,1.43835294246674,NA,NA,NA,NA,NA,NA,1200,16.8241596221924,77.1107330322266,NA,22700,318.256988525391,84.1207962036133,NA,335.081207275391,NA,99,99,NA,NA,NA,NA,216,6.19999980926514,NA,NA,13,76.3390274047852,1.89999997615814,54,542000,4,0.461225710809231,0.0529156047850847,0.0529156038537621,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.5400009155273,2.70000004768372,1.22748446464539,8196.8486328125,49.5685997009277,54.0259323120117,10.8539276123047,45.4623870849609,58.8151817321777,18.8372097015381,117.009826660156,122.811889648438,88.1978225708008,23.8526630401611,8196.8486328125,8196.8486328125,9834.2900390625,19710.173828125,8196.8486328125,122.811889648438,49.5685997009277,54.0259323120117,10.8539276123047,-1.29706382751465,3,NA,NA,NA,NA,2.56494927406311,5.81437301635742,9.01150512695312,4.81065368652344,40,1,1,17.8343620300293,294.225402832031,17.2230758666992,2.6210823059082,22.3603973388672,12.0857543945312
