ccode,minorconflict0,majorconflict0,war0,biginternal0,minorconflict1,majorconflict1,war1,biginternal1
2,1,1,1,0,1,0,0,0
20,1,1,1,0,0,0,0,0
31,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0
54,,,,1,,,,1
55,,,,1,,,,1
56,,,,1,,,,1
57,,,,1,,,,1
58,,,,1,,,,1
60,,,,1,,,,1
70,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0
90,0,0,0,1,0,0,0,1
91,1,1,1,0,0,0,0,0
92,0,0,0,1,0,0,0,1
93,0,0,0,0,0,0,0,1
94,0,0,0,0,0,0,0,0
95,0,0,0,0,1,0,0,0
100,0,0,0,1,0,0,0,1
101,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0
130,1,0,0,0,0,0,0,0
135,1,0,0,1,0,0,0,1
140,0,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0,0
160,1,1,1,0,1,1,1,0
165,0,0,0,0,0,0,0,0
200,1,1,1,1,1,1,1,1
205,0,0,0,0,0,0,0,0
210,1,1,1,0,0,0,0,0
211,1,1,1,0,0,0,0,0
212,0,0,0,0,0,0,0,0
220,1,1,1,0,0,0,0,0
221,,,,1,,,,
223,,,,1,,,,1
225,0,0,0,0,0,0,0,0
230,1,1,1,0,0,0,0,0
232,,,,1,,,,
235,1,1,1,0,0,0,0,0
255,,,,1,,,,1
260,,,,,0,0,0,0
265,,,,,0,0,0,0
290,0,0,0,0,0,0,0,0
305,0,0,0,0,0,0,0,0
310,0,0,0,0,0,0,0,0
315,1,1,1,0,0,0,0,0
316,0,0,0,0,,,,
317,0,0,0,0,,,,
325,1,1,1,0,0,0,0,0
331,,,,1,,,,
338,0,0,0,0,0,0,0,0
339,0,0,0,0,0,0,0,0
343,0,0,0,0,,,,
344,0,0,0,0,,,,
345,0,0,0,1,0,0,0,0
346,0,0,0,1,,,,
349,0,0,0,0,,,,
350,1,1,1,0,0,0,0,0
352,0,0,0,0,0,0,0,0
355,0,0,0,0,0,0,0,0
359,0,0,0,0,,,,
360,0,0,0,0,0,0,0,0
365,0,0,0,1,0,0,0,0
366,0,0,0,0,,,,
367,0,0,0,0,,,,
368,0,0,0,0,,,,
369,0,0,0,0,,,,
370,0,0,0,0,,,,
371,0,0,0,0,,,,
372,0,0,0,1,,,,
373,0,0,0,1,,,,
375,0,0,0,0,0,0,0,0
380,0,0,0,0,0,0,0,0
385,1,1,1,0,0,0,0,0
390,1,1,1,0,0,0,0,0
395,0,0,0,0,0,0,0,0
402,0,0,0,0,0,0,0,0
403,,,,1,,,,1
404,0,0,0,0,0,0,0,0
411,0,0,0,0,0,0,0,0
420,0,0,0,0,0,0,0,0
432,0,0,0,0,1,0,0,0
433,1,1,1,1,1,0,0,0
434,0,0,0,0,0,0,0,0
435,0,0,0,0,1,0,0,0
436,1,1,1,0,0,0,0,0
437,0,0,0,0,0,0,0,0
438,0,0,0,0,0,0,0,0
439,0,0,0,0,1,0,0,0
450,0,0,0,1,0,0,0,0
451,0,0,0,1,0,0,0,0
452,0,0,0,0,0,0,0,0
461,0,0,0,0,0,0,0,0
471,1,0,0,0,0,0,0,0
475,1,0,0,0,1,0,0,0
481,0,0,0,0,0,0,0,0
482,0,0,0,0,0,0,0,0
483,0,0,0,0,1,1,1,0
484,0,0,0,0,0,0,0,0
490,0,0,0,0,0,0,0,0
500,0,0,0,1,0,0,0,1
501,0,0,0,0,0,0,0,0
510,0,0,0,0,0,0,0,0
516,0,0,0,1,0,0,0,0
517,0,0,0,1,0,0,0,0
520,0,0,0,1,1,0,0,1
522,0,0,0,0,0,0,0,0
530,1,1,1,1,1,0,0,1
531,1,1,1,0,,,,
540,0,0,0,1,0,0,0,1
541,0,0,0,1,0,0,0,1
551,0,0,0,0,0,0,0,0
552,0,0,0,0,0,0,0,1
553,0,0,0,0,0,0,0,0
560,0,0,0,1,0,0,0,1
565,0,0,0,0,0,0,0,0
570,0,0,0,0,0,0,0,0
571,0,0,0,0,0,0,0,0
572,0,0,0,0,0,0,0,0
580,0,0,0,0,0,0,0,0
581,0,0,0,0,0,0,0,0
590,0,0,0,0,0,0,0,0
591,,,,1,,,,1
600,1,1,1,0,0,0,0,1
615,0,0,0,1,0,0,0,0
616,0,0,0,0,0,0,0,0
620,0,0,0,0,1,1,1,0
625,0,0,0,1,0,0,0,1
630,0,0,0,1,1,1,1,1
640,0,0,0,1,0,0,0,1
645,1,1,1,1,1,1,1,1
651,1,1,1,0,0,0,0,0
652,1,1,1,0,0,0,0,1
660,0,0,0,0,0,0,0,0
663,0,0,0,0,0,0,0,0
666,0,0,0,1,0,0,0,1
670,1,1,1,0,0,0,0,0
678,,,,,1,0,0,0
679,,,,1,,,,1
680,,,,,1,0,0,1
690,1,1,1,0,1,0,0,0
692,1,1,1,0,0,0,0,0
694,1,1,1,0,0,0,0,0
696,1,1,1,0,0,0,0,0
698,1,1,1,0,0,0,0,0
700,0,0,0,1,0,0,0,1
701,0,0,0,0,,,,
702,0,0,0,1,,,,
703,0,0,0,0,,,,
704,0,0,0,0,,,,
705,0,0,0,0,,,,
710,0,0,0,0,1,1,1,0
712,0,0,0,0,0,0,0,0
713,0,0,0,0,0,0,0,0
731,0,0,0,0,0,0,0,0
732,0,0,0,0,0,0,0,0
740,0,0,0,0,0,0,0,0
750,1,1,1,1,1,1,0,1
760,0,0,0,0,0,0,0,0
770,1,1,1,0,1,1,0,0
771,1,1,1,1,0,0,0,1
775,0,0,0,1,0,0,0,1
780,0,0,0,1,0,0,0,1
781,0,0,0,0,0,0,0,0
790,0,0,0,1,0,0,0,0
800,0,0,0,0,1,0,0,1
811,0,0,0,0,0,0,0,0
812,0,0,0,0,1,0,0,1
816,0,0,0,0,1,1,1,0
820,0,0,0,0,0,0,0,0
830,0,0,0,0,0,0,0,0
835,0,0,0,0,0,0,0,0
840,0,0,0,1,0,0,0,1
850,0,0,0,1,0,0,0,1
860,,,,1,,,,
900,1,1,1,0,0,0,0,0
910,0,0,0,0,0,0,0,0
920,0,0,0,0,0,0,0,0
935,,,,1,,,,1
940,0,0,0,0,0,0,0,0
946,,,,1,,,,
947,,,,1,,,,
950,0,0,0,0,0,0,0,0
955,,,,1,,,,
970,,,,1,,,,
983,,,,1,,,,
986,,,,1,,,,
987,,,,1,,,,
990,,,,1,,,,1
