precdesc,age,aacong,conparty,conperct,conterms,aasenate,senparty,senterms,senperct,aavoter,gen2004,aa2004v,VAP3,BVAP3,bvperct,votperc,NBVAP,nbvote,nbvtpct,Nprecincts100
G26,3,0,1,59,1,0,1,3,56.2,781,1300,691,2341,1152,.5998264,.55531824,1144,609,.53234267,1.59
ROCKWELL,3,0,0,73,10,0,0,1,60.2,20,1913,19,3686,28,.6785714,.51899076,3559,1894,.53217196,.44
TAYLORSVIL,3,0,0,59,0,0,0,5,61.8,558,3943,298,7455,728,.40934065,.52890676,6501,3645,.56068295,.16
BEAVERCEDAR,3,0,1,72,4,0,1,8,63.4,539,1778,463,3531,969,.47781217,.5035401,2515,1315,.52286285,.64999998
DEEP CREEK,3,0,0,59,0,0,0,4,61.2,9,1077,7,2139,9,.77777779,.5035063,2085,1070,.51318944,.12
ARMORY,3,0,0,55,7,0,0,1,66.7,11,830,9,1563,32,.28125,.53103006,1439,821,.57053512,.34999999
NEWHOPE,3,0,0,59,0,0,0,7,99,6,711,5,1277,9,.55555558,.55677366,1145,706,.6165939,.28999999
MIDWAY #44,3,0,0,73,10,0,0,2,99,321,2418,260,3935,473,.54968286,.61448538,3325,2158,.64902258,.41999999
"CLINTON, N",3,0,1,72,4,0,1,6,54.5,225,1404,187,3052,685,.2729927,.4600262,2289,1217,.53167319,.23
NORTH BROO,3,0,0,64,0,0,0,1,68,44,2295,37,4162,102,.36274511,.55141759,3827,2258,.59001827,.28999999
PILOT #1,3,0,0,59,0,0,0,4,61.2,65,567,50,1008,88,.56818181,.5625,906,517,.57064021,.28999999
ARCHDALE 2,3,0,0,73,10,0,0,1,64.7,30,1194,28,1965,42,.66666669,.60763359,1851,1166,.62992978,.40000001
CLARKSVILL,3,0,0,59,0,0,0,1,60.2,67,1363,57,2626,94,.60638297,.51904035,2336,1306,.55907536,.14
G01,2,0,1,59,1,0,1,3,56.2,525,674,425,1502,677,.62776959,.44873503,794,249,.313602,1.59
06 - SAULS,3,0,0,71,5,0,0,1,50.9,432,1506,393,2618,703,.55903274,.5752483,1900,1113,.5857895,.30000001
PRECINCT 0,3,0,1,63,4,0,0,4,57.1,34984,180547,30177,352002,63962,.47179577,.51291472,253494,150370,.5931896,1.8200001
ELKIN #1,3,0,0,59,0,0,0,4,61.2,15,786,13,1731,59,.22033899,.4540728,1648,773,.46905339,.28999999
FRANKLIN,3,0,0,59,0,0,0,4,61.2,10,698,9,1644,23,.39130434,.4245742,1597,689,.43143395,.28999999
BOONE 1,2,0,0,59,0,0,0,5,61.8,79,952,58,1524,97,.59793812,.62467194,1436,894,.62256265,.2
CYPRESSCRK,3,0,1,72,4,0,1,8,63.4,54,292,45,683,98,.45918366,.42752561,571,247,.43257442,.17
HILLSBOROU,3,0,1,64,9,0,1,4,65.7,147,659,131,1191,298,.43959731,.55331653,881,528,.59931898,.43000001
PCT 133,3,0,0,70,5,0,0,1,54.6,200,2172,168,2611,220,.76363635,.83186519,2170,2004,.92350233,1.9
MONTEZUMA,3,0,0,64,0,0,1,1,49,0,308,0,506,0,,.60869563,489,308,.62985682,.19
MITCHELL,3,0,0,59,0,0,0,4,61.2,19,770,16,1571,68,.23529412,.49013367,1486,754,.50740242,.2
MT AIRY #4,3,0,0,59,0,0,0,4,61.2,143,1013,113,1594,212,.53301889,.63550818,1362,900,.66079295,.28999999
BLACK CREE,3,0,0,71,5,0,1,2,60.1,172,1458,149,2804,287,.51916379,.51997149,2445,1309,.53537834,.25
SF1,3,0,0,73,10,0,0,2,84.7,67,1478,55,1707,106,.51886791,.86584651,1541,1423,.92342633,1.59
PEACHTREE,3,0,0,55,7,0,0,8,56.5,3,1157,1,2221,13,.07692308,.52093649,2129,1156,.54297793,.16
NEWTON GRO,3,0,1,63,4,0,1,6,54.5,194,858,140,2002,368,.38043478,.42857143,1580,718,.45443037,.23
SF3,3,0,0,73,10,0,0,2,84.7,59,1308,52,1625,61,.85245901,.80492306,1505,1256,.83455151,1.59
PCT 114,3,0,0,70,5,0,0,4,65.2,90,2093,70,3243,112,.625,.64539009,2841,2023,.71207321,1.9
CLYDE NORT,3,0,0,55,7,0,1,1,49,15,1238,14,2290,31,.45161289,.54061133,2173,1224,.56327659,.28999999
054,3,0,0,59,0,0,0,7,88.2,83,1809,72,2332,106,.67924529,.775729,2129,1737,.81587601,1.01
MT AIRY #1,3,0,0,59,0,0,0,4,61.2,87,1028,65,3352,216,.30092594,.30668259,3090,963,.31165048,.28999999
CANE RIVER,3,0,0,55,7,0,1,1,49,1,843,0,1206,1,0,.69900495,1182,843,.71319795,.11
LONGVIEW N,3,0,0,64,0,0,0,7,99,80,838,65,2504,156,.41666666,.33466452,2238,773,.34539768,.40000001
SHELBY #1,3,0,0,64,0,0,1,4,52.4,547,1064,446,2651,1315,.33916351,.40135798,1313,618,.47067782,.28
11,3,0,0,55,3,0,0,1,66.7,8,1342,8,2429,23,.34782609,.55249071,1968,1334,.67784554,.46000001
BUG HILL,3,0,1,72,4,0,1,14,54.6,37,257,28,747,105,.26666668,.34404284,643,229,.35614309,.25999999
074,3,0,0,59,0,0,0,7,88.2,142,1684,129,2544,153,.84313726,.66194969,2287,1555,.67993003,1.01
BM08,3,0,0,71,5,0,1,1,51.8,1087,3495,872,9094,2262,.38549957,.38431934,6647,2623,.3946141,.23
LOWELL,3,0,0,70,5,0,1,6,53,90,1003,66,2091,126,.52380955,.47967479,1926,937,.48650053,.46000001
WELCOME #8,3,0,0,73,10,0,0,2,99,15,1498,12,2651,24,.5,.56506979,2523,1486,.58898139,.41999999
HOBUCKEN,3,0,0,71,5,0,1,2,51.7,0,175,0,423,3,0,.41371158,424,175,.41273585,.079999998
CAMERON,3,0,0,73,10,0,0,1,54.4,176,1217,153,2713,365,.41917807,.44858092,2205,1064,.48253968,.23999999
LILESVILLE,3,0,0,55,3,0,1,3,57.4,1102,1291,721,2581,1384,.52095377,.50019372,1204,570,.47342193,.11
G24,3,0,1,59,1,0,1,3,56.2,290,822,235,1470,327,.71865445,.55918366,1100,587,.53363639,1.59
HOLLOWAY,3,0,1,59,1,0,1,4,65.7,129,605,110,1027,189,.58201057,.58909446,811,495,.61035758,.14
M05,3,0,1,72,4,0,0,0,65.09999999999999,86,3026,68,4447,93,.73118281,.68045872,4031,2958,.73381293,.46000001
ROCK CREEK,3,0,0,59,0,0,0,5,61.8,20,2258,17,4548,61,.27868852,.49648198,4401,2241,.50920248,.28999999
ROXBORO 4,3,0,1,59,1,0,1,4,65.7,406,913,349,1708,616,.56655842,.53454334,1057,564,.53358561,.14
GLADE CREE,3,0,0,59,0,0,0,4,61.2,13,874,9,1518,20,.44999999,.57575756,1479,865,.5848546,.07
CF03,3,0,1,72,4,0,0,0,65.09999999999999,405,3057,333,5665,993,.33534744,.53962928,4325,2724,.62982661,.46000001
ALLENSVILL,3,0,1,59,1,0,1,4,65.7,431,1092,369,2102,671,.54992551,.51950526,1386,723,.52164501,.14
PCT 7,3,0,0,55,3,0,1,3,99,308,991,247,2367,585,.42222223,.41867343,1617,744,.46011132,1.9
ELK PARK,3,0,0,64,0,0,1,1,49,1,417,0,886,1,0,.47065464,855,417,.4877193,.19
MT TIRZAH,3,0,1,59,1,0,1,4,65.7,188,1263,163,2264,334,.48802397,.55786216,1868,1100,.5888651,.14
EAST JONES,3,0,1,63,4,0,1,0,56.2,445,1781,372,4079,963,.38629285,.43662661,3133,1409,.4497287,.13
PELHAM,3,0,1,59,1,0,0,5,57.8,489,1848,408,3466,701,.58202571,.53317946,2751,1440,.52344602,.11
NE22A,3,0,0,71,5,0,1,1,51.8,1128,3320,893,9989,2285,.39080963,.3323656,7494,2427,.3238591,.23
G06,3,0,1,59,1,0,1,1,64,1116,977,930,1643,1496,.62165773,.59464395,141,47,.33333334,1.59
CHINQUAPIN,3,0,0,71,5,0,1,1,51.8,41,296,31,518,75,.41333333,.5714286,443,265,.59819412,.07
PINK HILL-,3,0,0,71,5,0,1,6,54.5,102,1007,76,2039,198,.38383839,.49386954,1875,931,.49653333,.22
HOT HOUSE,3,0,0,55,7,0,0,8,56.5,3,557,1,1063,3,.33333334,.52398872,1022,556,.54403132,.16
HAZEL 2,3,0,0,55,7,0,1,0,55.9,50,785,42,2073,95,.44210526,.37867823,1898,743,.39146471,.72000003
KINSTON-4,3,0,0,71,5,0,1,6,54.5,280,1804,244,2993,518,.47104248,.60273975,2520,1560,.61904764,.22
H24,3,0,0,73,10,0,0,2,99,205,1381,178,1543,213,.83568072,.8950097,1280,1203,.93984377,1.59
SIMPSON A,3,0,0,71,5,0,1,1,66.7,337,1542,279,2408,572,.48776224,.64036542,1751,1263,.72130209,.38
WILKESBORO,3,0,0,59,0,0,0,5,61.8,411,4309,334,7794,710,.47042254,.55286115,6949,3975,.57202476,.28999999
12,3,0,0,70,5,0,0,1,66.7,13,1322,11,2459,16,.6875,.53761691,1998,1311,.65615618,.46000001
WILSON D,3,0,0,71,5,0,1,2,60.1,100,1234,91,1698,121,.75206614,.72673732,1532,1143,.74608356,.25
065,3,0,0,59,0,0,0,7,88.2,164,2106,147,2656,181,.81215471,.79292166,2367,1959,.82762992,1.01
21,3,0,0,70,5,0,0,1,66.7,61,1137,57,2244,105,.54285717,.50668448,1749,1080,.61749572,.46000001
JEF4,3,0,0,73,10,0,0,2,84.7,188,1015,166,1386,195,.85128206,.73232323,1146,849,.74083769,1.59
FALLINGCK,3,0,0,64,0,0,0,7,99,57,1859,50,2645,69,.72463769,.70283556,2456,1809,.7365635,.40000001
NORTH LIBE,3,0,0,59,0,0,0,4,61.2,86,2294,68,4541,237,.28691983,.50517505,4214,2226,.52823919,.12
EAST GRAHA,3,0,0,73,10,0,0,5,57.8,403,1248,248,2844,560,.44285715,.43881857,2168,1000,.46125463,.37
BRASSTOWN,3,0,0,55,7,0,0,8,56.5,0,436,0,765,2,0,.56993467,710,436,.61408448,.090000004
PCT 113,3,0,0,70,5,0,0,4,65.2,96,2130,84,2803,106,.79245281,.75990009,2448,2046,.83578432,1.9
ALBRIGHT,3,0,0,73,10,0,0,5,57.8,112,1637,75,2760,130,.57692307,.59311593,2498,1562,.62530023,.37
LAUREL PAR,3,0,0,55,7,0,0,1,66.7,8,1163,5,1704,13,.38461539,.68251175,1590,1158,.72830188,.34999999
OAK ISLAND,3,0,1,72,4,0,1,14,54.6,11,3311,6,6655,19,.31578946,.49752066,5788,3305,.57100898,.23
STEELE,3,0,0,73,10,0,0,1,60.2,70,708,60,1200,118,.50847459,.58999997,1052,648,.6159696,.44
SCOTTS HIL,3,0,1,72,4,0,1,14,54.6,9,893,7,1405,16,.4375,.63558722,1270,886,.6976378,.17
WOODHILL,3,0,0,70,5,0,1,6,53,338,657,281,1894,710,.39577466,.34688491,1161,376,.32385874,.46000001
GRAHAM 4,3,0,0,73,10,0,0,5,57.8,328,2147,222,3445,292,.76027399,.62322205,2994,1925,.64295256,.37
BETTIE,3,0,0,71,5,0,1,2,51.7,0,215,0,294,0,,.73129255,282,215,.76241136,.34
MORTON,3,0,0,73,10,0,0,5,57.8,365,2161,236,3998,508,.46456692,.54052025,3314,1925,.58086902,.37
SMYRA,3,0,0,71,5,0,1,2,51.7,0,166,0,263,0,,.63117874,252,166,.65873015,.34
