team,points,NFC,mean,meandev,absdev,sqdev,absdevmedian
Redskins,7,NFC,20.03125,-13.03125,13.03125,169.81348,11
Giants,16,NFC,20.03125,-4.03125,4.03125,16.250977,2
Bengals,10,AFC,20.03125,-10.03125,10.03125,100.62598,8
Ravens,17,AFC,20.03125,-3.03125,3.03125,9.1884766,1
Jets,20,AFC,20.03125,-.03125,.03125,.0009765625,2
Dolphins,14,AFC,20.03125,-6.03125,6.03125,36.375977,4
Chiefs,10,AFC,20.03125,-10.03125,10.03125,100.62598,8
Patriots,17,AFC,20.03125,-3.03125,3.03125,9.1884766,1
Texans,17,AFC,20.03125,-3.03125,3.03125,9.1884766,1
Steelers,38,AFC,20.03125,17.96875,17.96875,322.87598,20
Jaguars,10,AFC,20.03125,-10.03125,10.03125,100.62598,8
Titans,17,AFC,20.03125,-3.03125,3.03125,9.1884766,1
Lions,21,NFC,20.03125,.96875,.96875,.93847656,3
Falcons,34,NFC,20.03125,13.96875,13.96875,195.12598,16
Seahawks,10,NFC,20.03125,-10.03125,10.03125,100.62598,8
Bills,34,AFC,20.03125,13.96875,13.96875,195.12598,16
Rams,3,NFC,20.03125,-17.03125,17.03125,290.06348,15
Eagles,38,NFC,20.03125,17.96875,17.96875,322.87598,20
Buccaneers,20,NFC,20.03125,-.03125,.03125,.0009765625,2
Saints,24,NFC,20.03125,3.96875,3.96875,15.750977,6
Bears,29,NFC,20.03125,8.96875,8.96875,80.438477,11
Colts,13,AFC,20.03125,-7.03125,7.03125,49.438477,5
Panthers,26,NFC,20.03125,5.96875,5.96875,35.625977,8
Chargers,24,AFC,20.03125,3.96875,3.96875,15.750977,6
Cardinals,23,NFC,20.03125,2.96875,2.96875,8.8134766,5
49ers,13,NFC,20.03125,-7.03125,7.03125,49.438477,5
Cowboys,28,NFC,20.03125,7.96875,7.96875,63.500977,10
Browns,10,AFC,20.03125,-10.03125,10.03125,100.62598,8
Vikings,19,NFC,20.03125,-1.03125,1.03125,1.0634766,1
Packers,24,NFC,20.03125,3.96875,3.96875,15.750977,6
Broncos,41,AFC,20.03125,20.96875,20.96875,439.68848,23
Raiders,14,AFC,20.03125,-6.03125,6.03125,36.375977,4
