"","justice","justiceName","civlibs","ideology_score"
"2",78,"HLBlack",73.8878143133462,0.875
"3",79,"SFReed",42.8571428571429,0.725
"4",80,"FFrankfurter",65.8536585365854,0.665
"5",81,"WODouglas",90.4977375565611,0.73
"6",82,"FMurphy",83.3333333333333,1
"8",84,"RHJackson",50,1
"9",85,"WBRutledge",75,1
"10",86,"HHBurton",51.5527950310559,0.28
"11",87,"FMVinson",43.9024390243902,0.75
"12",88,"TCClark",59.8187311178248,0.5
"13",89,"SMinton",44.7058823529412,0.72
"14",90,"EWarren",84.2696629213483,0.75
"15",91,"JHarlan2",45.771144278607,0.875
"16",92,"WJBrennan",83.5564053537285,1
"17",93,"CEWhittaker",58.2278481012658,0.5
"18",94,"PStewart",52.3872679045093,0.75
"19",95,"BRWhite",55.4170661553212,0.5
"20",96,"AJGoldberg",95.3271028037383,0.75
"21",97,"AFortas",84.5360824742268,1
"22",98,"TMarshall",84.7798742138365,1
"23",99,"WEBurger",38.4375,0.115
"24",100,"HABlackmun",58.4269662921348,0.115
"25",101,"LFPowell",39.4785847299814,0.165
"26",102,"WHRehnquist",24.465811965812,0.045
"27",103,"JPStevens",62.3543123543124,0.25
"28",104,"SDOConnor",37.8892733564014,0.415
"29",105,"AScalia",25.5395683453237,0
"30",106,"AMKennedy",36.468330134357,0.365
"31",107,"DHSouter",56.1497326203209,0.325
"32",108,"CThomas",20.5250596658711,0.16
"33",109,"RBGinsburg",59.5854922279793,0.68
"34",110,"SGBreyer",62.536023054755,0.475
"35",111,"JGRoberts",37.2549019607843,0.12
"36",112,"SAAlito",33.5570469798658,0.1
"37",113,"SSotomayor",64.8351648351648,0.78
"38",114,"EKagan",64.2857142857143,0.73
