"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2022 General Election","ADAMS","United States Senator","Statewide","Democratic","FETTERMAN, JOHN K","16,096","0","0","9,242","0","0","6,780","0","0","74","0","0"
"2022 General Election","ADAMS","United States Senator","Statewide","Republican","OZ, MEHMET C","29,039","0","0","25,991","0","0","3,012","0","0","36","0","0"
"2022 General Election","ADAMS","Governor","Statewide","Democratic","SHAPIRO, JOSHUA D","18,821","0","0","11,318","0","0","7,425","0","0","78","0","0"
"2022 General Election","ADAMS","Governor","Statewide","Republican","MASTRIANO, DOUGLAS V","26,819","0","0","24,272","0","0","2,513","0","0","34","0","0"
"2022 General Election","ALLEGHENY","United States Senator","Statewide","Democratic","FETTERMAN, JOHN K","363,873","0","0","224,055","0","0","134,156","0","0","5,662","0","0"
"2022 General Election","ALLEGHENY","United States Senator","Statewide","Republican","OZ, MEHMET C","200,632","0","0","175,810","0","0","23,502","0","0","1,320","0","0"
"2022 General Election","ALLEGHENY","Governor","Statewide","Democratic","SHAPIRO, JOSHUA D","393,386","0","0","246,843","0","0","140,701","0","0","5,842","0","0"
"2022 General Election","ALLEGHENY","Governor","Statewide","Republican","MASTRIANO, DOUGLAS V","169,913","0","0","151,680","0","0","17,132","0","0","1,101","0","0"
"2022 General Election","ARMSTRONG","United States Senator","Statewide","Democratic","FETTERMAN, JOHN K","8,065","0","0","5,513","0","0","2,514","0","0","38","0","0"
"2022 General Election","ARMSTRONG","United States Senator","Statewide","Republican","OZ, MEHMET C","19,575","0","0","18,425","0","0","1,112","0","0","38","0","0"
"2022 General Election","ARMSTRONG","Governor","Statewide","Democratic","SHAPIRO, JOSHUA D","9,523","0","0","6,715","0","0","2,764","0","0","44","0","0"
"2022 General Election","ARMSTRONG","Governor","Statewide","Republican","MASTRIANO, DOUGLAS V","18,419","0","0","17,437","0","0","951","0","0","31","0","0"
"2022 General Election","BEAVER","United States Senator","Statewide","Democratic","FETTERMAN, JOHN K","32,692","0","0","21,391","0","0","11,105","0","0","196","0","0"
"2022 General Election","BEAVER","United States Senator","Statewide","Republican","OZ, MEHMET C","38,772","0","0","35,505","0","0","3,187","0","0","80","0","0"
"2022 General Election","BEAVER","Governor","Statewide","Democratic","SHAPIRO, JOSHUA D","36,917","0","0","24,966","0","0","11,752","0","0","199","0","0"
"2022 General Election","BEAVER","Governor","Statewide","Republican","MASTRIANO, DOUGLAS V","34,777","0","0","32,201","0","0","2,512","0","0","64","0","0"
"2022 General Election","BEDFORD","United States Senator","Statewide","Democratic","FETTERMAN, JOHN K","3,796","0","0","2,281","0","0","1,500","0","0","15","0","0"
"2022 General Election","BEDFORD","United States Senator","Statewide","Republican","OZ, MEHMET C","17,954","0","0","16,702","0","0","1,232","0","0","20","0","0"
"2022 General Election","BEDFORD","Governor","Statewide","Democratic","SHAPIRO, JOSHUA D","4,721","0","0","3,021","0","0","1,684","0","0","16","0","0"
"2022 General Election","BEDFORD","Governor","Statewide","Republican","MASTRIANO, DOUGLAS V","17,198","0","0","16,066","0","0","1,113","0","0","19","0","0"
"2022 General Election","BERKS","United States Senator","Statewide","Democratic","FETTERMAN, JOHN K","70,322","0","0","48,891","0","0","21,431","0","0","0","0","0"
"2022 General Election","BERKS","United States Senator","Statewide","Republican","OZ, MEHMET C","77,621","0","0","71,952","0","0","5,669","0","0","0","0","0"
"2022 General Election","BERKS","Governor","Statewide","Democratic","SHAPIRO, JOSHUA D","77,785","0","0","54,658","0","0","23,127","0","0","0","0","0"
"2022 General Election","BERKS","Governor","Statewide","Republican","MASTRIANO, DOUGLAS V","71,823","0","0","67,211","0","0","4,612","0","0","0","0","0"
"2022 General Election","BLAIR","United States Senator","Statewide","Democratic","FETTERMAN, JOHN K","14,763","0","0","9,251","0","0","5,430","0","0","82","0","0"
"2022 General Election","BLAIR","United States Senator","Statewide","Republican","OZ, MEHMET C","34,214","0","0","31,007","0","0","3,140","0","0","67","0","0"
"2022 General Election","BLAIR","Governor","Statewide","Democratic","SHAPIRO, JOSHUA D","17,716","0","0","11,616","0","0","6,004","0","0","96","0","0"
"2022 General Election","BLAIR","Governor","Statewide","Republican","MASTRIANO, DOUGLAS V","31,823","0","0","29,041","0","0","2,726","0","0","56","0","0"
"2022 General Election","BRADFORD","United States Senator","Statewide","Democratic","FETTERMAN, JOHN K","6,632","0","0","4,430","0","0","2,163","0","0","39","0","0"
"2022 General Election","BRADFORD","United States Senator","Statewide","Republican","OZ, MEHMET C","16,033","0","0","14,808","0","0","1,167","0","0","58","0","0"
"2022 General Election","BRADFORD","Governor","Statewide","Democratic","SHAPIRO, JOSHUA D","7,389","0","0","5,029","0","0","2,327","0","0","33","0","0"
"2022 General Election","BRADFORD","Governor","Statewide","Republican","MASTRIANO, DOUGLAS V","15,529","0","0","14,385","0","0","1,082","0","0","62","0","0"
"2022 General Election","BUCKS","United States Senator","Statewide","Democratic","FETTERMAN, JOHN K","164,521","0","0","95,176","0","0","67,707","0","0","1,638","0","0"
"2022 General Election","BUCKS","United States Senator","Statewide","Republican","OZ, MEHMET C","141,339","0","0","123,710","0","0","16,693","0","0","936","0","0"
"2022 General Election","BUCKS","Governor","Statewide","Democratic","SHAPIRO, JOSHUA D","185,324","0","0","110,935","0","0","72,618","0","0","1,771","0","0"
"2022 General Election","BUCKS","Governor","Statewide","Republican","MASTRIANO, DOUGLAS V","122,981","0","0","109,290","0","0","12,903","0","0","788","0","0"
"2022 General Election","BUTLER","United States Senator","Statewide","Democratic","FETTERMAN, JOHN K","33,921","0","0","21,361","0","0","12,390","0","0","170","0","0"
"2022 General Election","BUTLER","United States Senator","Statewide","Republican","OZ, MEHMET C","57,168","0","0","51,869","0","0","5,176","0","0","123","0","0"
"2022 General Election","BUTLER","Governor","Statewide","Democratic","SHAPIRO, JOSHUA D","40,065","0","0","26,273","0","0","13,606","0","0","186","0","0"
"2022 General Election","BUTLER","Governor","Statewide","Republican","MASTRIANO, DOUGLAS V","51,546","0","0","47,283","0","0","4,156","0","0","107","0","0"
"2022 General Election","CAMBRIA","United States Senator","Statewide","Democratic","FETTERMAN, JOHN K","18,849","0","0","12,367","0","0","6,401","0","0","81","0","0"
"2022 General Election","CAMBRIA","United States Senator","Statewide","Republican","OZ, MEHMET C","35,847","0","0","32,900","0","0","2,903","0","0","44","0","0"
"2022 General Election","CAMBRIA","Governor","Statewide","Democratic","SHAPIRO, JOSHUA D","22,885","0","0","15,719","0","0","7,078","0","0","88","0","0"
