Election Name,County Name,Office Name,District Name,Party Name,Candidate Name,Votes,Yes Votes,No Votes,Election Day Votes,ElectionDay Yes Votes,Election Day No Votes,Mail Votes,Mail Yes Votes,Mail No Votes,Provisional Votes,Provisional Yes Votes,Provisional No Votes
2024 Presidential Election,ADAMS,President of the United States,Statewide,Democratic,KAMALA D HARRIS,"19,842",0,0,"10,843",0,0,"8,888",0,0,111,0,0
2024 Presidential Election,ADAMS,President of the United States,Statewide,Republican,DONALD J TRUMP,"40,248",0,0,"30,642",0,0,"9,460",0,0,146,0,0
2024 Presidential Election,ADAMS,United States Senator,Statewide,Democratic,ROBERT P CASEY JR,"19,947",0,0,"11,083",0,0,"8,761",0,0,103,0,0
2024 Presidential Election,ADAMS,United States Senator,Statewide,Republican,DAVE MCCORMICK,"38,505",0,0,"29,162",0,0,"9,207",0,0,136,0,0
2024 Presidential Election,ALLEGHENY,President of the United States,Statewide,Democratic,KAMALA D HARRIS,"429,916",0,0,"258,292",0,0,"164,979",0,0,"6,645",0,0
2024 Presidential Election,ALLEGHENY,President of the United States,Statewide,Republican,DONALD J TRUMP,"283,595",0,0,"220,707",0,0,"59,740",0,0,"3,148",0,0
2024 Presidential Election,ALLEGHENY,United States Senator,Statewide,Democratic,ROBERT P CASEY JR,"425,280",0,0,"256,407",0,0,"162,473",0,0,"6,400",0,0
2024 Presidential Election,ALLEGHENY,United States Senator,Statewide,Republican,DAVE MCCORMICK,"272,861",0,0,"211,410",0,0,"58,569",0,0,"2,882",0,0
2024 Presidential Election,ARMSTRONG,President of the United States,Statewide,Democratic,KAMALA D HARRIS,"8,553",0,0,"5,437",0,0,"3,081",0,0,35,0,0
2024 Presidential Election,ARMSTRONG,President of the United States,Statewide,Republican,DONALD J TRUMP,"28,296",0,0,"24,029",0,0,"4,162",0,0,105,0,0
2024 Presidential Election,ARMSTRONG,United States Senator,Statewide,Democratic,ROBERT P CASEY JR,"9,136",0,0,"5,981",0,0,"3,117",0,0,38,0,0
2024 Presidential Election,ARMSTRONG,United States Senator,Statewide,Republican,DAVE MCCORMICK,"26,653",0,0,"22,609",0,0,"3,951",0,0,93,0,0
2024 Presidential Election,BEAVER,President of the United States,Statewide,Democratic,KAMALA D HARRIS,"37,196",0,0,"23,552",0,0,"13,383",0,0,261,0,0
2024 Presidential Election,BEAVER,President of the United States,Statewide,Republican,DONALD J TRUMP,"56,837",0,0,"46,773",0,0,"9,796",0,0,268,0,0
2024 Presidential Election,BEAVER,United States Senator,Statewide,Democratic,ROBERT P CASEY JR,"38,529",0,0,"24,734",0,0,"13,534",0,0,261,0,0
2024 Presidential Election,BEAVER,United States Senator,Statewide,Republican,DAVE MCCORMICK,"53,593",0,0,"44,042",0,0,"9,303",0,0,248,0,0
2024 Presidential Election,BEDFORD,President of the United States,Statewide,Democratic,KAMALA D HARRIS,"4,336",0,0,"2,430",0,0,"1,889",0,0,17,0,0
2024 Presidential Election,BEDFORD,President of the United States,Statewide,Republican,DONALD J TRUMP,"23,658",0,0,"19,603",0,0,"3,948",0,0,107,0,0
2024 Presidential Election,BEDFORD,United States Senator,Statewide,Democratic,ROBERT P CASEY JR,"4,624",0,0,"2,699",0,0,"1,904",0,0,21,0,0
2024 Presidential Election,BEDFORD,United States Senator,Statewide,Republican,DAVE MCCORMICK,"22,855",0,0,"18,934",0,0,"3,823",0,0,98,0,0
2024 Presidential Election,BERKS,President of the United States,Statewide,Democratic,KAMALA D HARRIS,"91,125",0,0,"60,162",0,0,"30,175",0,0,788,0,0
2024 Presidential Election,BERKS,President of the United States,Statewide,Republican,DONALD J TRUMP,"116,677",0,0,"97,251",0,0,"18,691",0,0,735,0,0
2024 Presidential Election,BERKS,United States Senator,Statewide,Democratic,ROBERT P CASEY JR,"89,063",0,0,"58,554",0,0,"29,742",0,0,767,0,0
2024 Presidential Election,BERKS,United States Senator,Statewide,Republican,DAVE MCCORMICK,"108,058",0,0,"89,416",0,0,"18,009",0,0,633,0,0
2024 Presidential Election,BLAIR,President of the United States,Statewide,Democratic,KAMALA D HARRIS,"18,127",0,0,"10,888",0,0,"7,119",0,0,120,0,0
2024 Presidential Election,BLAIR,President of the United States,Statewide,Republican,DONALD J TRUMP,"46,352",0,0,"36,580",0,0,"9,532",0,0,240,0,0
2024 Presidential Election,BLAIR,United States Senator,Statewide,Democratic,ROBERT P CASEY JR,"18,445",0,0,"11,231",0,0,"7,090",0,0,124,0,0
2024 Presidential Election,BLAIR,United States Senator,Statewide,Republican,DAVE MCCORMICK,"44,741",0,0,"35,263",0,0,"9,255",0,0,223,0,0
2024 Presidential Election,BRADFORD,President of the United States,Statewide,Democratic,KAMALA D HARRIS,"7,990",0,0,"5,124",0,0,"2,800",0,0,66,0,0
2024 Presidential Election,BRADFORD,President of the United States,Statewide,Republican,DONALD J TRUMP,"22,937",0,0,"19,486",0,0,"3,254",0,0,197,0,0
2024 Presidential Election,BRADFORD,United States Senator,Statewide,Democratic,ROBERT P CASEY JR,"8,007",0,0,"5,167",0,0,"2,770",0,0,70,0,0
2024 Presidential Election,BRADFORD,United States Senator,Statewide,Republican,DAVE MCCORMICK,"22,099",0,0,"18,726",0,0,"3,182",0,0,191,0,0
2024 Presidential Election,BUCKS,President of the United States,Statewide,Democratic,KAMALA D HARRIS,"198,431",0,0,"107,899",0,0,"88,971",0,0,"1,561",0,0
2024 Presidential Election,BUCKS,President of the United States,Statewide,Republican,DONALD J TRUMP,"198,722",0,0,"148,928",0,0,"48,169",0,0,"1,625",0,0
2024 Presidential Election,BUCKS,United States Senator,Statewide,Democratic,ROBERT P CASEY JR,"196,444",0,0,"107,553",0,0,"87,357",0,0,"1,534",0,0
2024 Presidential Election,BUCKS,United States Senator,Statewide,Republican,DAVE MCCORMICK,"194,203",0,0,"144,429",0,0,"48,266",0,0,"1,508",0,0
2024 Presidential Election,BUTLER,President of the United States,Statewide,Democratic,KAMALA D HARRIS,"40,661",0,0,"24,251",0,0,"16,137",0,0,273,0,0
2024 Presidential Election,BUTLER,President of the United States,Statewide,Republican,DONALD J TRUMP,"79,773",0,0,"64,294",0,0,"15,086",0,0,393,0,0
2024 Presidential Election,BUTLER,United States Senator,Statewide,Democratic,ROBERT P CASEY JR,"40,973",0,0,"24,770",0,0,"15,928",0,0,275,0,0
2024 Presidential Election,BUTLER,United States Senator,Statewide,Republican,DAVE MCCORMICK,"77,328",0,0,"62,131",0,0,"14,833",0,0,364,0,0
2024 Presidential Election,CAMBRIA,President of the United States,Statewide,Democratic,KAMALA D HARRIS,"21,177",0,0,"13,416",0,0,"7,541",0,0,220,0,0
2024 Presidential Election,CAMBRIA,President of the United States,Statewide,Republican,DONALD J TRUMP,"49,408",0,0,"41,647",0,0,"7,328",0,0,433,0,0
2024 Presidential Election,CAMBRIA,United States Senator,Statewide,Democratic,ROBERT P CASEY JR,"22,887",0,0,"14,861",0,0,"7,798",0,0,228,0,0
2024 Presidential Election,CAMBRIA,United States Senator,Statewide,Republican,DAVE MCCORMICK,"46,482",0,0,"39,093",0,0,"6,994",0,0,395,0,0
2024 Presidential Election,CAMERON,President of the United States,Statewide,Democratic,KAMALA D HARRIS,538,0,0,321,0,0,215,0,0,2,0,0
2024 Presidential Election,CAMERON,President of the United States,Statewide,Republican,DONALD J TRUMP,"1,654",0,0,"1,312",0,0,338,0,0,4,0,0
2024 Presidential Election,CAMERON,United States Senator,Statewide,Democratic,ROBERT P CASEY JR,580,0,0,351,0,0,227,0,0,2,0,0
2024 Presidential Election,CAMERON,United States Senator,Statewide,Republican,DAVE MCCORMICK,"1,558",0,0,"1,246",0,0,309,0,0,3,0,0
2024 Presidential Election,CARBON,President of the United States,Statewide,Democratic,KAMALA D HARRIS,"11,394",0,0,"7,270",0,0,"4,027",0,0,97,0,0
2024 Presidential Election,CARBON,President of the United States,Statewide,Republican,DONALD J TRUMP,"23,708",0,0,"20,326",0,0,"3,208",0,0,174,0,0
2024 Presidential Election,CARBON,United States Senator,Statewide,Democratic,ROBERT P CASEY JR,"11,570",0,0,"7,501",0,0,"3,977",0,0,92,0,0
2024 Presidential Election,CARBON,United States Senator,Statewide,Republican,DAVE MCCORMICK,"22,603",0,0,"19,360",0,0,"3,083",0,0,160,0,0
2024 Presidential Election,CENTRE,President of the United States,Statewide,Democratic,KAMALA D HARRIS,"41,119",0,0,"25,153",0,0,"15,721",0,0,245,0,0
2024 Presidential Election,CENTRE,President of the United States,Statewide,Republican,DONALD J TRUMP,"38,829",0,0,"30,782",0,0,"7,877",0,0,170,0,0
2024 Presidential Election,CENTRE,United States Senator,Statewide,Democratic,ROBERT P CASEY JR,"40,382",0,0,"24,758",0,0,"15,386",0,0,238,0,0
2024 Presidential Election,CENTRE,United States Senator,Statewide,Republican,DAVE MCCORMICK,"38,054",0,0,"30,033",0,0,"7,860",0,0,161,0,0
2024 Presidential Election,CHESTER,President of the United States,Statewide,Democratic,KAMALA D HARRIS,"184,242",0,0,"106,691",0,0,"76,059",0,0,"1,492",0,0
2024 Presidential Election,CHESTER,President of the United States,Statewide,Republican,DONALD J TRUMP,"137,281",0,0,"104,186",0,0,"32,176",0,0,919,0,0
2024 Presidential Election,CHESTER,United States Senator,Statewide,Democratic,ROBERT P CASEY JR,"178,794",0,0,"103,472",0,0,"73,905",0,0,"1,417",0,0
2024 Presidential Election,CHESTER,United States Senator,Statewide,Republican,DAVE MCCORMICK,"138,255",0,0,"104,206",0,0,"33,144",0,0,905,0,0
2024 Presidential Election,CLARION,President of the United States,Statewide,Democratic,KAMALA D HARRIS,"4,562",0,0,"2,944",0,0,"1,607",0,0,11,0,0
2024 Presidential Election,CLARION,President of the United States,Statewide,Republican,DONALD J TRUMP,"15,036",0,0,"12,679",0,0,"2,328",0,0,29,0,0
2024 Presidential Election,CLARION,United States Senator,Statewide,Democratic,ROBERT P CASEY JR,"4,684",0,0,"3,074",0,0,"1,602",0,0,8,0,0
2024 Presidential Election,CLARION,United States Senator,Statewide,Republican,DAVE MCCORMICK,"14,180",0,0,"11,927",0,0,"2,223",0,0,30,0,0
2024 Presidential Election,CLEARFIELD,President of the United States,Statewide,Democratic,KAMALA D HARRIS,"9,647",0,0,"6,207",0,0,"3,413",0,0,27,0,0
2024 Presidential Election,CLEARFIELD,President of the United States,Statewide,Republican,DONALD J TRUMP,"30,481",0,0,"26,219",0,0,"4,169",0,0,93,0,0
2024 Presidential Election,CLEARFIELD,United States Senator,Statewide,Democratic,ROBERT P CASEY JR,"10,111",0,0,"6,612",0,0,"3,474",0,0,25,0,0
2024 Presidential Election,CLEARFIELD,United States Senator,Statewide,Republican,DAVE MCCORMICK,"29,063",0,0,"25,019",0,0,"3,959",0,0,85,0,0
2024 Presidential Election,CLINTON,President of the United States,Statewide,Democratic,KAMALA D HARRIS,"5,395",0,0,"3,464",0,0,"1,910",0,0,21,0,0
2024 Presidential Election,CLINTON,President of the United States,Statewide,Republican,DONALD J TRUMP,"12,965",0,0,"10,684",0,0,"2,226",0,0,55,0,0
2024 Presidential Election,CLINTON,United States Senator,Statewide,Democratic,ROBERT P CASEY JR,"5,722",0,0,"3,758",0,0,"1,942",0,0,22,0,0
2024 Presidential Election,CLINTON,United States Senator,Statewide,Republican,DAVE MCCORMICK,"12,250",0,0,"10,085",0,0,"2,116",0,0,49,0,0
2024 Presidential Election,COLUMBIA,President of the United States,Statewide,Democratic,KAMALA D HARRIS,"11,083",0,0,"7,303",0,0,"3,686",0,0,94,0,0
2024 Presidential Election,COLUMBIA,President of the United States,Statewide,Republican,DONALD J TRUMP,"21,190",0,0,"18,148",0,0,"2,924",0,0,118,0,0
2024 Presidential Election,COLUMBIA,United States Senator,Statewide,Democratic,ROBERT P CASEY JR,"10,962",0,0,"7,255",0,0,"3,617",0,0,90,0,0
2024 Presidential Election,COLUMBIA,United States Senator,Statewide,Republican,DAVE MCCORMICK,"20,600",0,0,"17,583",0,0,"2,912",0,0,105,0,0
