caseid,female,palin,pid
2,Male,Somewhat Unfavorable,Democrat
3,Female,Somewhat Favorable,Democrat
5,Female,Very Unfavorable,Independent
8,Female,Very Unfavorable,Democrat
9,Female,Somewhat Unfavorable,Independent
10,Male,Very Favorable,GOP
13,Male,Very Favorable,GOP
15,Male,Somewhat Favorable,GOP
16,Male,Very Favorable,GOP
17,Male,Very Favorable,GOP
18,Female,Somewhat Favorable,Independent
19,Female,Somewhat Favorable,Democrat
20,Female,Very Favorable,Democrat
22,Male,Very Favorable,Independent
23,Male,Somewhat Unfavorable,Democrat
24,Male,Very Favorable,GOP
26,Female,Somewhat Unfavorable,Independent
27,Male,Somewhat Unfavorable,Democrat
29,Male,Very Unfavorable,Democrat
31,Male,Very Unfavorable,Independent
32,Female,Somewhat Favorable,Democrat
33,Male,Very Favorable,GOP
34,Male,Very Favorable,GOP
35,Male,Somewhat Unfavorable,Independent
36,Female,Very Favorable,Democrat
37,Male,Somewhat Favorable,GOP
38,Female,Very Unfavorable,Democrat
39,Male,Somewhat Favorable,Independent
40,Female,Somewhat Unfavorable,Democrat
41,Female,Somewhat Unfavorable,Democrat
42,Female,Somewhat Favorable,GOP
43,Male,Very Favorable,Independent
44,Male,Somewhat Favorable,Democrat
45,Male,Very Favorable,GOP
47,Female,Somewhat Favorable,Democrat
48,Male,Somewhat Favorable,Independent
50,Male,Very Unfavorable,Democrat
51,Male,Very Favorable,Independent
54,Male,Somewhat Favorable,GOP
55,Female,Somewhat Unfavorable,GOP
56,Male,Very Favorable,GOP
57,Female,Somewhat Unfavorable,Democrat
58,Female,Very Favorable,Independent
59,Female,Somewhat Favorable,GOP
60,Male,Very Favorable,GOP
62,Male,Somewhat Unfavorable,Democrat
63,Female,Very Unfavorable,Democrat
64,Female,Somewhat Unfavorable,Democrat
65,Female,Somewhat Unfavorable,Democrat
66,Female,Very Favorable,Independent
67,Female,Very Favorable,Democrat
70,Male,Very Favorable,Democrat
71,Female,Very Favorable,Independent
72,Female,Very Unfavorable,Democrat
74,Female,Very Unfavorable,Democrat
75,Female,Somewhat Favorable,Independent
76,Female,Somewhat Favorable,GOP
77,Female,Very Unfavorable,Democrat
78,Female,Very Unfavorable,Independent
79,Female,Somewhat Unfavorable,Democrat
80,Male,Very Favorable,GOP
81,Female,Very Favorable,GOP
86,Female,Very Unfavorable,Democrat
88,Female,Somewhat Favorable,GOP
90,Male,Somewhat Favorable,Democrat
