ccode,milperCW,milperPost,milexCW,milexPost,polityCW,polityPost,tradeCW,tradePost,GDPPCCW,GDPPCPost,minorconflictCW,minorconflictPost,majorconflictCW,majorconflictPost,warCW,warPost,civilwarCW,civilwarPost
2,2186.5,1636.7273,228159424,288077920,10,10,18.93481583333333,23.1794408803304,23134.82916666666,28943.6924609375,1,1,0,1,0,1,0,0
20,83.583336,68.36364,7019303,8973909,10,10,52.62333333333333,69.32690997314452,17712.32166666667,20713.8433203125,0,1,0,1,0,1,0,0
41,7.5833335,2.7,27821.818,52600,-7.0833335,.83333331,43.99101250000001,38.63681749684651,556.4658083333334,382.0764664469402,0,0,0,0,0,0,0,0
42,21.916666,23.272728,102342.5,110435.45,6,7,57.10616333333333,64.74719771921794,1364.346666666667,1730.433242024739,0,0,0,0,0,0,0,0
51,2.4166667,3,29279.5,34087.273,10,9.166667,98.72169416666667,106.7263097989909,1850.219166666667,2112.945317220052,0,0,0,0,0,0,0,0
52,1.8333334,2.1818182,71674.109,57200,8.583333,9.5,74.44305166666668,91.72852220275878,4935.093916666668,4612.059423828126,0,0,0,0,0,0,0,0
70,138.25,199.63637,757748.56,3178867,-2.25,4.5,29.65916,52.34211756490072,3194.455583333334,3467.593407226562,0,0,0,0,0,0,0,0
90,36.416668,35.363636,131623.25,152378.19,-1.75,5.9166665,36.79845083333333,44.12328494262696,1414.381583333334,1485.057757324219,0,0,0,0,0,0,1,1
91,18.166666,12.363636,78481.664,75677.273,4.5,6.3333335,61.79802750000001,88.47100150248211,697.4163,709.7015998616536,0,1,0,1,0,1,0,0
92,37.333332,28.272728,158186.67,153260.91,3.5,7,52.79584166666666,58.98122423380534,1404.176166666667,1654.13183186849,0,0,0,0,0,0,1,1
93,51.583332,14.909091,300462.72,82045.453,-1.25,7.3333335,56.67520250000001,88.69714007466634,589.305125,444.9350932495117,0,0,0,0,0,0,1,0
94,7.25,8.666667,30335.666,63137.273,10,10,71.8462,84.24085001403806,2859.718416666667,3527.880740559896,0,0,0,0,0,0,0,0
95,10.666667,11.888889,80005.664,107818.18,-3.8333333,8.75,86.31543166666665,68.45899255340576,2738.472833333333,3153.721008789062,1,0,0,0,0,0,0,0
100,75,144.90909,386011.66,2022818.1,8,7.6666665,28.85699666666667,36.93566575978597,1935.093416666667,2310.065498860677,0,0,0,0,0,0,1,1
101,64.583336,73.727272,815965.31,1391909.1,9,7.5833335,46.60388750000001,48.85835425303142,3611.892583333334,3454.813909505208,0,0,0,0,0,0,0,0
110,6,2.1818182,23892.666,7096.7998,-6.4166665,4.9166665,132.3208733333333,221.8654326497396,694.841225,857.2369612141928,0,0,0,0,0,0,0,0
130,41.166668,57.454544,216650.42,507192,8.666667,8.166667,53.57055166666667,56.76350266642253,1735.870583333333,1766.123093343099,0,1,0,0,0,0,0,0
135,135.58333,113.54546,1044665.3,902602.75,6.75,2.7272727,35.21144166666667,31.05066765218099,2395.629083333334,2193.964333007812,0,1,0,0,0,0,1,1
140,435.5,294.81818,1876130.3,11084818,2,8,17.40145333333334,20.31889429041545,4085.415166666666,4400.035310546875,0,0,0,0,0,0,0,0
