dyadid,ccode1,ccode2,year,cap_1,cap_2,alliance,democ1,democ2,autoc1,autoc2,dem1,dem2,distance,dyaddur,ongoing,mid,hostlev1,hostlev2,midnum,durat,capratio,allies,jointdem,_st,_d,_t,_t0,discount,strat6,surv,haz,haz0,haz1,haz2,haz3,haz4
2020,2,20,1968,.2095,.013286,1,10,10,0,0,10,10,0,48,0,0,0,0,0,49,.9403643,1,10,1,0,49,0,0,0,.991266896587041,,,,,,
2040,2,40,1968,.2095,.0028820001,4,10,0,0,7,10,-7,1135,59,0,0,0,0,0,6,.98643011,0,-7,1,0,6,0,0,0,.997442420925272,,,,,,
2041,2,41,1968,.2095,.000352,1,10,0,0,9,10,-9,1437,34,0,0,0,0,0,35,.99832261,1,-9,1,0,35,0,0,0,.9930338932865768,,,,,,
2042,2,42,1968,.2095,.00053999998,1,10,1,0,4,10,-3,1477,44,0,0,0,0,0,7,.99742907,1,-3,1,0,7,0,0,0,.9972464599966172,,,,,,
2051,2,51,1968,.2095,.00019000001,4,10,10,0,0,10,10,1446,6,0,0,0,0,0,7,.99909389,0,10,1,0,7,0,0,0,.9972464599966172,,,,,,
2052,2,52,1968,.2095,.000174,1,10,8,0,0,10,8,2176,6,0,0,0,0,0,7,.99917012,1,8,1,0,7,0,0,0,.9972464599966172,,,,,,
2053,2,53,1968,.2095,.000016,4,10,,0,,10,,2078,2,0,0,0,0,0,3,.99992365,0,,1,0,3,0,0,0,,,,,,,
2070,2,70,1968,.2095,.0086589996,1,10,0,0,6,10,-6,0,137,0,0,0,0,0,12,.96030879,1,-6,1,0,12,0,0,0,.9962113820646448,,,,,,
2090,2,90,1968,.2095,.00052100001,1,10,4,0,1,10,3,1869,100,0,0,0,0,0,10,.99751931,1,3,1,0,10,0,0,0,.9965515002525406,,,,,,
2091,2,91,1968,.2095,.00025000001,1,10,1,0,2,10,-1,1824,69,0,0,0,0,0,70,.99880809,1,-1,1,0,70,0,0,0,.9887331548767052,,,,,,
