respon,intrace,relgpref,cenreg,timezone,race,feminsult
1,White,Catholic,East,Eastern,White,Neutral
2,White,Protestant,South,Eastern,White,Insult
3,Black,Protestant,South,Eastern,White,Neutral
4,White,Protestant,East,Eastern,White,Neutral
5,White,Protestant,South,Eastern,White,Insult
7,White,Protestant,Midwest,Eastern,White,Insult
8,Black,Protestant,Midwest,Eastern,White,Neutral
9,White,Catholic,East,Eastern,White,Neutral
10,White,Other,East,Eastern,Asian,Neutral
11,Asian,Protestant,South,Eastern,White,Neutral
12,White,Catholic,East,Eastern,White,Neutral
13,Black,Catholic,East,Eastern,White,Neutral
14,White,None,Midwest,Eastern,Black,Neutral
15,Black,Protestant,South,Eastern,White,Neutral
16,Asian,Protestant,Midwest,Eastern,White,Insult
17,White,Protestant,South,Eastern,White,Neutral
18,White,Protestant,East,Eastern,Black,Compliment
19,White,Protestant,South,Eastern,White,Insult
20,White,Protestant,Midwest,Eastern,White,Neutral
22,White,Catholic,Midwest,Eastern,White,Compliment
23,Black,Jewish,South,Eastern,White,Insult
24,White,Catholic,South,Eastern,White,Neutral
25,White,None,Midwest,Eastern,White,Compliment
26,White,Catholic,East,Eastern,Other,Neutral
27,Asian,Catholic,East,Eastern,White,Neutral
28,White,Protestant,Midwest,Eastern,White,Insult
30,Black,Catholic,South,Eastern,White,Insult
31,Black,Catholic,Midwest,Eastern,White,Neutral
32,White,Protestant,Midwest,Eastern,White,Neutral
33,White,Protestant,Midwest,Eastern,Black,Neutral
34,White,Protestant,West,Pacific,White,Neutral
35,White,Catholic,East,Eastern,White,Compliment
36,White,Protestant,South,Central,White,Insult
37,White,Protestant,East,Eastern,White,Neutral
38,White,None,West,Pacific,White,Neutral
39,Asian,Protestant,Midwest,Eastern,White,Insult
40,White,Protestant,Midwest,Central,White,Neutral
41,White,Protestant,Midwest,Central,White,Insult
42,Black,Catholic,West,Pacific,Black,Neutral
43,Black,Catholic,Midwest,Central,White,Neutral
44,Asian,Catholic,West,Mountain,White,Neutral
45,White,Protestant,South,Eastern,White,Insult
46,White,Catholic,Midwest,Central,White,Neutral
47,Black,Catholic,Midwest,Central,White,Neutral
48,White,Protestant,Midwest,Central,White,Compliment
49,Black,Protestant,Midwest,Central,Black,Neutral
50,White,Protestant,South,Central,White,Neutral
51,White,Protestant,South,Central,Black,Neutral
52,Black,Catholic,West,Pacific,White,Neutral
53,White,Protestant,South,Central,White,Insult
54,White,Protestant,South,Central,Black,Neutral
56,White,Other,West,Hawaii,Other,Neutral
57,Asian,Protestant,West,Pacific,White,Insult
59,White,Protestant,Midwest,Central,White,Neutral
60,White,Protestant,Midwest,Eastern,White,Neutral
62,White,Protestant,West,Mountain,Other,Insult
63,Asian,Catholic,Midwest,Central,White,Neutral
64,White,Catholic,Midwest,Central,White,Compliment
65,White,Protestant,East,Eastern,White,Insult
66,White,None,Midwest,Eastern,White,Neutral
67,Black,Catholic,Midwest,Central,White,Neutral
68,White,Catholic,South,Central,Other,Insult
69,Asian,None,Midwest,Eastern,Black,Insult
70,White,Catholic,East,Eastern,White,Neutral
72,White,Jewish,West,Pacific,White,Insult
74,White,Protestant,West,Pacific,White,Neutral
75,Black,Protestant,South,Central,White,Insult
76,White,Protestant,South,Central,White,Neutral
77,White,Protestant,South,Central,White,Insult
78,White,Catholic,Midwest,Central,Black,Compliment
79,Black,Catholic,South,Eastern,White,Insult
81,Black,None,West,Bering,White,Insult
82,White,Catholic,Midwest,Central,White,Neutral
83,White,Protestant,Midwest,Central,White,Neutral
85,White,Protestant,South,Central,White,Insult
86,White,Catholic,West,Mountain,Other,Neutral
87,White,Protestant,South,Central,White,Neutral
88,White,Catholic,South,Central,White,Neutral
89,White,Protestant,West,Pacific,White,Neutral
90,White,Catholic,Midwest,Eastern,White,Insult
91,White,None,West,Pacific,White,Insult
92,Black,Protestant,West,Pacific,White,Insult
93,White,Protestant,West,Mountain,White,Insult
94,Black,None,South,Eastern,White,Neutral
95,White,Protestant,West,Pacific,White,Insult
96,White,Other,Midwest,Eastern,White,Insult
97,White,None,West,Pacific,White,Insult
98,White,Protestant,West,Pacific,White,Neutral
99,White,Protestant,South,Eastern,White,Neutral
100,White,Protestant,West,Pacific,White,Neutral
101,Black,Protestant,West,Pacific,White,Neutral
102,Asian,None,West,Pacific,White,Compliment
103,White,Protestant,Midwest,Central,White,Compliment
104,Black,Catholic,Midwest,Central,White,Insult
105,White,Protestant,South,Eastern,White,Neutral
106,Asian,Protestant,West,Pacific,White,Insult
107,White,Protestant,East,Eastern,White,Insult
108,White,Catholic,East,Eastern,White,Neutral
109,White,Protestant,East,Eastern,White,Neutral
110,White,Catholic,Midwest,Eastern,White,Neutral
111,White,Protestant,East,Eastern,Black,Neutral
112,White,Catholic,South,Eastern,White,Neutral
113,White,Protestant,South,Central,Black,Insult
114,White,None,Midwest,Eastern,White,Neutral
115,White,None,South,Eastern,White,Insult
116,Black,Protestant,South,Eastern,White,Neutral
117,White,Catholic,West,Pacific,White,Insult
118,White,Protestant,South,Central,White,Neutral
119,Black,Protestant,South,Central,White,Neutral
120,White,Protestant,Midwest,Eastern,White,Neutral
121,White,Protestant,South,Central,White,Neutral
122,White,Catholic,East,Eastern,White,Neutral
123,Black,Protestant,Midwest,Central,White,Compliment
124,White,Protestant,Midwest,Central,White,Neutral
125,Black,Catholic,South,Eastern,Black,Neutral
