ccode,year,milgdp,polity,major,bdthpct,cwdthpct,rivalcap,allycap,gdp,emppop
2,1816,0.46938452,9,0,0,0,0.383011989,0,0.003958328,8.659
2,1817,0.30095518,9,0,0,0,0.370407984,0,0.003982241,8.899
2,1818,0.23148221,9,0,0,0,0.373278011,0,0.00401007,9.139
2,1819,0.27734694,9,0,0,0,0.359982014,0,0.004032083,9.379
2,1820,0.18620488,9,0,0,0,0.316531003,0,0.004061204,9.618
2,1821,0.19161345,9,0,0,0,0.317341,0,0.004088606,9.939
2,1822,0.12732163,9,0,0,0,0.31142199,0,0.004118656,10.268
2,1823,0.13693261,9,0,0,0,0.318107992,0,0.004152553,10.596
2,1824,0.14634617,9,0,0,0,0.329959005,0,0.004187646,10.924
2,1825,0.1537358,9,0,0,0,0.331248999,0,0.004223453,11.252
2,1826,0.18908343,9,0,0,0,0.329825014,0,0.004261548,11.58
2,1827,0.18790242,9,0,0,0,0.332830012,0,0.004301264,11.909
2,1828,0.18175618,9,0,0,0,0.326932997,0,0.004337085,12.237
2,1829,0.18614975,9,0,0,0,0.323044002,0,0.004380925,12.565
2,1830,0.18501973,9,0,0,0,0.445721,0,0.004431322,12.901
2,1831,0.19849484,9,0,0,0,0.45831199,0,0.004492863,13.321
2,1832,0.2014845,9,0,0,0,0.45192901,0,0.004573335,13.742
2,1833,0.25558552,9,0,0,0,0.451602009,0,0.004649207,14.162
2,1834,0.21407908,9,0,0,0,0.451813999,0,0.004706102,14.582
2,1835,0.20247805,9,0,0,0,0.451365995,0,0.00480292,15.003
2,1836,0.25581932,9,0,0,0,0.441076992,0,0.00488433,15.423
2,1837,0.30508333,9,0,0,0,0.448093996,0,0.004971776,15.843
2,1838,0.29755548,9,0,0,0,0.450089,0,0.005035492,16.264
2,1839,0.19045156,9,0,0,0,0.451717016,0,0.005134282,16.684
2,1840,0.25702477,9,0,0,0,0.470591981,0,0.005209343,17.12
2,1841,0.27851555,9,0,0,0,0.474461993,0,0.005308185,17.733
2,1842,0.27076107,9,0,0,0,0.464394993,0,0.005404566,18.345
2,1843,0.1192947,9,0,0,0,0.457032014,0,0.005556861,18.957
2,1844,0.20621437,9,0,0,0,0.460418004,0,0.005731667,19.569
2,1845,0.28979045,10,0,0,0,0.468459,0,0.005926779,20.182
2,1846,0.74900037,10,0,0.023651402,0,0.458174003,0,0.006168109,20.794
2,1847,0.56644678,10,0,0.035837397,0,0.45259001,0,0.00637565,21.406
2,1848,0.60081249,10,0,0.003150033,0,0.448527011,0,0.006556981,22.018
2,1849,0.25831088,10,0,0,0,0.436940014,0,0.006694213,22.631
2,1850,0.304528,9,0,0,0,0.431203991,0,0.006865615,23.261
2,1851,0.23965518,9,0,0,0,0.433252007,0,0.007148396,24.086
2,1852,0.27702844,9,0,0,0,0.426275,0,0.007413809,24.911
2,1853,0.28813136,9,0,0,0,0.418402985,0,0.007767395,25.736
2,1854,0.34487796,8,0,0,0,0.461452991,0,0.008124004,26.561
2,1855,0.3399038,8,0,0,0,0.443923995,0,0.008424478,27.386
2,1856,0.34083113,8,0,0,0,0.436102018,0,0.00872239,28.212
2,1857,0.4068349,8,0,0,0,0.429510981,0,0.008958214,29.037
2,1858,0.38583797,8,0,0,0,0.420985997,0,0.009191273,29.862
2,1859,0.28534755,8,0,0,0,0.429212987,0,0.009602564,30.687
2,1860,0.34431779,8,0,0,0,0.398526013,0,0.009965097,31.513
2,1861,4.6153259,8,0,0,0.20514189,0.366968997,0,0.010041746,32.351
2,1862,6.4491978,8,0,0,0.27439323,0.356713988,0,0.010306668,33.188
2,1863,5.3888102,8,0,0,0.26763615,0.353364989,0,0.010791942,34.026
