Date,County.Name,Partially.Vaccinated,Fully.Vaccinated,First.Booster.Dose,Second.Booster.Dose,Bivalent.Booster.1
2020-12-14,Allegheny,16,3,NA,NA,NA
2020-12-14,Beaver,1,NA,NA,NA,NA
2020-12-14,Berks,1,NA,NA,NA,NA
2020-12-14,Bucks,5,NA,NA,NA,NA
2020-12-14,Carbon,1,NA,NA,NA,NA
2020-12-14,Chester,2,NA,NA,NA,NA
2020-12-14,Delaware,1,NA,NA,NA,NA
2020-12-14,Erie,2,NA,NA,NA,NA
2020-12-14,Franklin,1,NA,NA,NA,NA
2020-12-14,Lancaster,4,NA,NA,NA,NA
2020-12-14,Lehigh,4,NA,NA,NA,NA
2020-12-14,Luzerne,3,1,NA,NA,NA
2020-12-14,Lycoming,1,NA,NA,NA,NA
2020-12-14,Mifflin,1,NA,NA,NA,NA
2020-12-14,Montgomery,4,NA,NA,NA,NA
2020-12-14,Montour,2,NA,NA,NA,NA
2020-12-14,Philadelphia,6,NA,NA,NA,NA
2020-12-14,Pike,2,NA,NA,NA,NA
2020-12-14,Schuylkill,1,NA,NA,NA,NA
2020-12-14,Union,1,NA,NA,NA,NA
2020-12-14,Washington,1,NA,NA,NA,NA
2020-12-14,Westmoreland,3,NA,NA,NA,NA
2020-12-14,York,2,NA,NA,NA,NA
2020-12-15,Adams,1,NA,NA,NA,NA
2020-12-15,Allegheny,10,4,NA,NA,NA
2020-12-15,Berks,1,NA,NA,NA,NA
2021-03-13,Pike,141,441,NA,NA,NA
2020-12-15,Butler,1,NA,NA,NA,NA
2020-12-15,Cambria,2,1,NA,NA,NA
2020-12-15,Carbon,1,1,NA,NA,NA
2020-12-15,Centre,6,NA,NA,NA,NA
2022-10-30,Montgomery,8,10,NA,NA,677
2020-12-15,Crawford,10,NA,NA,NA,NA
2020-12-15,Cumberland,2,NA,NA,NA,NA
2020-12-15,Dauphin,2,NA,NA,NA,NA
2020-12-15,Delaware,13,NA,NA,NA,NA
2020-12-15,Fayette,1,NA,NA,NA,NA
2022-10-24,Crawford,NA,3,NA,NA,111
2020-12-15,Greene,1,NA,NA,NA,NA
2020-12-15,Lackawanna,11,NA,NA,NA,NA
2020-12-15,Lawrence,1,NA,NA,NA,NA
2020-12-15,Lehigh,7,NA,NA,NA,NA
2020-12-15,Luzerne,5,NA,NA,NA,NA
2020-12-15,Mifflin,1,NA,NA,NA,NA
2020-12-15,Monroe,2,NA,NA,NA,NA
2020-12-15,Montgomery,11,NA,NA,NA,NA
2020-12-15,Montour,1,NA,NA,NA,NA
2020-12-15,Northampton,3,NA,NA,NA,NA
2020-12-15,Northumberland,1,NA,NA,NA,NA
2020-12-15,Philadelphia,8,NA,NA,NA,NA
2020-12-15,Schuylkill,2,NA,NA,NA,NA
2020-12-15,Union,2,NA,NA,NA,NA
2020-12-15,Venango,1,NA,NA,NA,NA
2020-12-15,Washington,3,NA,NA,NA,NA
2020-12-15,Wayne,1,NA,NA,NA,NA
2020-12-15,Westmoreland,3,NA,NA,NA,NA
2020-12-15,York,3,NA,NA,NA,NA
2020-12-16,Adams,2,NA,NA,NA,NA
2020-12-16,Allegheny,65,7,NA,NA,NA
2020-12-16,Beaver,3,NA,NA,NA,NA
2020-12-16,Bedford,1,NA,NA,NA,NA
2020-12-16,Berks,4,NA,NA,NA,NA
2020-12-16,Blair,1,NA,NA,NA,NA
2022-06-08,Allegheny,190,171,385,814,NA
2020-12-16,Butler,5,NA,NA,NA,NA
2020-12-16,Cambria,1,NA,NA,NA,NA
2020-12-16,Centre,28,NA,NA,NA,NA
2020-12-16,Chester,30,NA,NA,NA,NA
2020-12-16,Clearfield,1,NA,NA,NA,NA
2020-12-16,Clinton,1,NA,NA,NA,NA
2020-12-16,Columbia,8,NA,NA,NA,NA
2020-12-16,Crawford,39,NA,NA,NA,NA
2020-12-16,Cumberland,5,NA,NA,NA,NA
2020-12-16,Dauphin,2,NA,NA,NA,NA
2020-12-16,Delaware,88,1,NA,NA,NA
2020-12-16,Erie,5,NA,NA,NA,NA
2020-12-16,Fayette,78,NA,NA,NA,NA
2020-12-16,Franklin,4,NA,NA,NA,NA
2020-12-16,Greene,1,NA,NA,NA,NA
2020-12-16,Huntingdon,2,NA,NA,NA,NA
2020-12-16,Juniata,7,NA,NA,NA,NA
2020-12-16,Lackawanna,17,NA,NA,NA,NA
2020-12-16,Lebanon,2,NA,NA,NA,NA
