WUSTLID,White,Black,Asian,Education,Income,Ideology,Female,GOP,Democrat,Age2016,HowManyKids,FT.Communists,InterviewDuration,LookedAtEclipse,StolenStreetSign,StealShampoo,BeesOrBear,RunOutOfGas,weights
989874,1,0,0,15,16,2,1,0,1,60,0,50,27,0,0,1,0,0,0.71
989875,1,0,0,12,3,4,1,0,0,29,0,30,22,0,0,1,0,0,2.31
989876,1,0,0,10,11,4,1,0,0,63,0,30,22,0,0,0,0,0,2.52
989877,1,0,0,9,3,8,1,1,0,59,0,0,29,0,0,0,,0,1.05
989878,1,0,0,9,5,7,0,0,0,49,4,0,20,0,0,1,,0,1.43
989880,0,0,0,12,3,4,0,0,0,59,0,0,28,0,0,0,0,0,0.23
989881,0,0,1,12,8,2,1,0,1,34,1,20,92,0,0,1,,0,1.26
989882,1,0,0,9,8,7,1,1,0,63,0,0,16,0,0,1,0,0,2.75
989883,1,0,0,13,13,4,0,0,0,31,0,0,1450,0,0,1,1,0,1.77
989884,1,0,0,12,10,5,1,0,0,68,0,50,60,,0,1,0,0,0.73
989886,1,0,0,11,11,5,1,1,0,33,0,40,1303,0,0,1,1,1,1.6
989888,1,0,0,11,13,6,0,1,0,60,0,0,25,1,0,1,0,0,0.35
989889,1,0,0,11,7,7,0,0,0,65,0,0,26,0,0,1,0,0,0.34
989892,1,0,0,10,4,2,1,0,1,67,0,10,29,0,0,0,,0,0.86
989893,1,0,0,12,15,6,1,1,0,60,0,0,20,0,0,1,,0,1.45
989897,0,0,0,13,4,1,1,0,1,60,0,50,15,0,0,1,0,0,0.12
989903,0,0,0,14,3,6,0,0,0,56,0,20,23,0,0,0,,0,0.15
989904,1,0,0,12,6,6,1,0,0,73,0,20,36,0,0,1,,0,0.19
989905,1,0,0,10,6,3,0,0,1,59,0,20,24,0,0,0,0,0,0.44
989906,1,0,0,13,7,6,0,1,0,32,2,0,11,0,0,1,1,0,0.67
989907,1,0,0,12,4,6,1,1,0,67,0,0,17,0,0,1,0,0,0.17
989908,1,0,0,9,3,8,1,0,1,57,0,0,24,0,1,0,1,0,0.15
989910,1,0,0,13,8,2,1,0,1,57,0,40,5798,0,0,1,1,0,0.23
989912,1,0,0,12,11,6,0,1,0,63,1,0,17,0,0,0,1,0,0.27
989913,1,0,0,12,11,4,0,0,1,25,0,50,131,0,0,1,0,0,4.48
989914,1,0,0,12,1,4,1,1,0,66,0,30,29,1,0,1,0,0,0.06
989916,0,1,0,10,4,2,0,0,1,87,0,10,64,1,0,1,0,0,0.51
989919,0,0,0,11,4,6,0,0,0,36,0,50,54,1,1,0,0,1,0.41
989920,1,0,0,14,7,6,0,0,0,76,0,0,29,0,0,1,0,0,0.22
989921,1,0,0,12,5,3,0,0,1,66,0,30,92,0,0,1,1,0,0.07
989922,1,0,0,14,5,5,0,0,0,68,0,0,42,1,0,1,0,0,0.61
989923,1,0,0,12,5,7,0,1,0,52,0,10,16,0,0,0,1,0,0.11
989925,0,0,0,10,5,4,0,0,1,47,0,0,36,0,0,0,0,0,0.43
989927,1,0,0,12,8,3,1,0,0,48,2,20,14409,0,0,1,,0,0.36
989928,1,0,0,12,1,5,1,0,0,64,0,50,35,0,0,1,0,0,0.06
989930,1,0,0,9,3,3,0,0,0,66,0,0,31,0,0,1,0,0,0.33
989931,1,0,0,12,7,2,1,0,1,65,0,20,17,0,0,1,1,0,0.53
989932,1,0,0,12,7,6,1,1,0,59,0,10,18,0,0,1,0,0,0.46
989934,1,0,0,13,14,1,1,0,1,67,0,60,1378,0,0,1,0,0,0.64
989937,1,0,0,9,5,6,1,1,0,68,0,0,20,0,0,1,0,0,0.27
989939,0,1,0,10,3,3,0,0,1,55,2,0,59,1,0,0,,0,1.41
989940,1,0,0,13,8,5,0,0,0,68,0,0,29,,0,1,,0,0.15
989944,1,0,0,13,10,3,1,0,1,39,2,50,41,0,0,1,0,0,2.61
989946,0,0,0,12,11,3,0,0,1,44,1,0,7707,0,0,1,0,0,3.1
989947,1,0,0,12,9,2,1,0,0,39,0,10,17,0,0,1,,0,0.45
989951,1,0,0,12,5,3,1,1,0,,0,0,37,0,0,0,1,0,0.35
989953,1,0,0,13,13,5,0,1,0,60,1,0,36,0,0,1,1,0,0.59
989954,1,0,0,9,5,6,1,0,0,67,0,0,40,0,0,1,0,0,0.96
989956,1,0,0,9,4,4,0,1,0,55,1,40,14,1,0,0,,0,0.11
989960,1,0,0,12,6,6,0,1,0,80,0,10,2321,0,0,1,0,0,0.14
989964,1,0,0,10,13,2,1,0,0,55,0,10,18,0,0,1,,0,1.43
989965,1,0,0,10,4,4,1,0,1,65,0,0,34,0,0,1,,0,0.1
989966,1,0,0,11,3,1,1,0,1,55,0,0,27,0,0,1,,0,0.15
989968,1,0,0,12,11,1,1,0,1,63,0,30,34,0,0,1,0,0,0.69
