County,Democratic,Republican,Libertarian,Other,Total,DemPercent,GOPPercent,LibPercent,OtherPercent,Votes_Casey,Votes_Harris,Votes_Mccormick,Votes_Trump,ElecDay_Casey,ElecDay_Harris,ElecDay_Mccormick,ElecDay_Trump,MailIn_Casey,MailIn_Harris,MailIn_Mccormick,MailIn_Trump,Provisional_Casey,Provisional_Harris,Provisional_Mccormick,Provisional_Trump,HarrisPercent,TrumpPercent,CaseyPercent,McCormickPercent
Adams,19474,43914,449,12171,76008,25.620987264498474,57.77549731607199,0.5907272918640143,16.012788127565518,19947,19842,38505,40248,11083,10843,29162,30642,8761,8888,9207,9460,103,111,136,146,33.020469296055914,66.97953070394408,34.12543625538903,65.87456374461095
Allegheny,526268,274157,5088,147030,952543,55.24873942698649,28.78158781283365,0.5341491145281629,15.435523645651692,425280,429916,272861,283595,256407,258292,211410,220707,162473,164979,58569,59740,6400,6645,2882,3148,60.25359104484724,39.74640895515276,60.916061368692,39.083938631308
Armstrong,11418,27984,237,5032,44671,25.560206845604533,62.64466880078798,0.5305455440890063,11.264578809518481,9136,8553,26653,28296,5981,5437,22609,24029,3117,3081,3951,4162,38,35,93,105,23.210941952291787,76.78905804770821,25.527396686132608,74.4726033138674
Beaver,48284,52318,661,16185,117448,41.11095974388665,44.545671275798654,0.5628022614263334,13.780566718888359,38529,37196,53593,56837,24734,23552,44042,46773,13534,13383,9303,9796,261,261,248,268,39.55632597066987,60.44367402933013,41.823885716766895,58.176114283233105
Bedford,5671,24907,120,3103,33801,16.777610129877814,73.68716901866809,0.35501908227567236,9.180201769178426,4624,4336,22855,23658,2699,2430,18934,19603,1904,1889,3823,3948,21,17,98,107,15.489033364292348,84.51096663570765,16.827395465628296,83.1726045343717
Berks,109012,118848,1729,47241,276830,39.37868005635227,42.93176317595636,0.6245710363761153,17.064985731315247,89063,91125,108058,116677,58554,60162,89416,97251,29742,30175,18009,18691,767,788,633,735,43.851839732052625,56.148160267947375,45.18189335484297,54.81810664515704
Blair,20009,50687,377,10228,81301,24.611013394669193,62.344866606806804,0.463708933469453,12.58041106505455,18445,18127,44741,46352,11231,10888,35263,36580,7090,7119,9255,9532,124,120,223,240,28.113029048217246,71.88697095178274,29.191593074415216,70.80840692558478
Bradford,8277,25720,225,5090,39312,21.054639804639805,65.42531542531542,0.5723443223443223,12.947700447700447,8007,7990,22099,22937,5167,5124,18726,19486,2770,2800,3182,3254,70,66,191,197,25.83503087916707,74.16496912083292,26.596027369959472,73.40397263004053
Bucks,200835,206709,2699,83627,493870,40.665559762690584,41.854941583817606,0.5465000911170956,16.932998562374717,196444,198431,194203,198722,107553,107899,144429,148928,87357,88971,48266,48169,1534,1561,1508,1625,49.963364245013885,50.036635754986115,50.28683184563045,49.71316815436955
Butler,40520,83902,892,20406,145720,27.806752676365633,57.57754597858907,0.6121328575349986,14.003568487510293,40973,40661,77328,79773,24770,24251,62131,64294,15928,16137,14833,15086,275,273,364,393,33.76206054768587,66.23793945231414,34.63453394307741,65.3654660569226
Cambria,31712,46870,367,9559,88508,35.829529534053414,52.95566502463054,0.41465178288968235,10.800153658426357,22887,21177,46482,49408,14861,13416,39093,41647,7798,7541,6994,7328,228,220,395,433,30.002125097400295,69.9978749025997,32.99312372961986,67.00687627038015
